
Number of requests,Medium response time,Error percentage,Throughput
66000,801.266677ms,0,666.8273545127885
Type,Requests per second,Duration,
rest,10000,3s,
rest,12000,3s,
Response time,Success,Error,End time
21.616291ms,true,-,May  8 14:24:31.516534764
73.909336ms,true,-,May  8 14:24:31.568861818
73.196441ms,true,-,May  8 14:24:31.568916658
74.311883ms,true,-,May  8 14:24:31.568962026
74.356378ms,true,-,May  8 14:24:31.569247123
74.647171ms,true,-,May  8 14:24:31.569557478
75.313569ms,true,-,May  8 14:24:31.570247532
76.175881ms,true,-,May  8 14:24:31.571120898
76.347056ms,true,-,May  8 14:24:31.571347016
76.97436ms,true,-,May  8 14:24:31.571851720
78.154419ms,true,-,May  8 14:24:31.572525977
82.326762ms,true,-,May  8 14:24:31.572668650
78.161872ms,true,-,May  8 14:24:31.573078739
78.517458ms,true,-,May  8 14:24:31.573276732
82.667913ms,true,-,May  8 14:24:31.573410524
82.172041ms,true,-,May  8 14:24:31.573585040
82.782188ms,true,-,May  8 14:24:31.573683277
78.902599ms,true,-,May  8 14:24:31.573836167
79.339643ms,true,-,May  8 14:24:31.574116412
83.17618ms,true,-,May  8 14:24:31.574116894
80.324973ms,true,-,May  8 14:24:31.574298441
79.686482ms,true,-,May  8 14:24:31.574380163
79.944861ms,true,-,May  8 14:24:31.574436626
83.228519ms,true,-,May  8 14:24:31.574461486
79.892088ms,true,-,May  8 14:24:31.574660734
83.950317ms,true,-,May  8 14:24:31.574741379
84.585961ms,true,-,May  8 14:24:31.575164007
84.84691ms,true,-,May  8 14:24:31.575175161
80.432444ms,true,-,May  8 14:24:31.575367200
80.43662ms,true,-,May  8 14:24:31.575402377
85.807452ms,true,-,May  8 14:24:31.576421946
85.972834ms,true,-,May  8 14:24:31.576852688
83.928062ms,true,-,May  8 14:24:31.578685867
87.752633ms,true,-,May  8 14:24:31.579196879
85.045251ms,true,-,May  8 14:24:31.579779312
89.150262ms,true,-,May  8 14:24:31.579904502
85.077363ms,true,-,May  8 14:24:31.580074425
86.515767ms,true,-,May  8 14:24:31.580454182
85.68376ms,true,-,May  8 14:24:31.580647175
90.266267ms,true,-,May  8 14:24:31.580778917
87.641875ms,true,-,May  8 14:24:31.581673937
86.707225ms,true,-,May  8 14:24:31.581677937
90.275666ms,true,-,May  8 14:24:31.581739445
87.021973ms,true,-,May  8 14:24:31.581840231
87.252259ms,true,-,May  8 14:24:31.582047851
91.559499ms,true,-,May  8 14:24:31.582055445
87.321652ms,true,-,May  8 14:24:31.582296578
88.46078ms,true,-,May  8 14:24:31.582361656
87.401125ms,true,-,May  8 14:24:31.582365417
91.751447ms,true,-,May  8 14:24:31.582458298
88.516405ms,true,-,May  8 14:24:31.582525827
88.399103ms,true,-,May  8 14:24:31.583278859
89.102787ms,true,-,May  8 14:24:31.583619828
95.14085ms,true,-,May  8 14:24:31.585776779
94.377944ms,true,-,May  8 14:24:31.585797331
95.843435ms,true,-,May  8 14:24:31.586444242
96.417548ms,true,-,May  8 14:24:31.586752375
17.559705ms,true,-,May  8 14:24:31.586812560
92.685491ms,true,-,May  8 14:24:31.587059222
92.619948ms,true,-,May  8 14:24:31.587083601
96.953983ms,true,-,May  8 14:24:31.587473655
93.956869ms,true,-,May  8 14:24:31.587987648
93.291142ms,true,-,May  8 14:24:31.588070801
71.583369ms,true,-,May  8 14:24:31.588289669
93.986286ms,true,-,May  8 14:24:31.588688499
93.833181ms,true,-,May  8 14:24:31.588775789
93.884217ms,true,-,May  8 14:24:31.588790691
93.959383ms,true,-,May  8 14:24:31.588907747
97.628465ms,true,-,May  8 14:24:31.589009182
94.707693ms,true,-,May  8 14:24:31.589615153
95.883544ms,true,-,May  8 14:24:31.589783347
95.288954ms,true,-,May  8 14:24:31.590245521
97.96184ms,true,-,May  8 14:24:31.590395698
95.732941ms,true,-,May  8 14:24:31.590512501
