
Number of requests,Medium response time,Error percentage,Throughput,Duration
66000,31.996933ms,0,6654.8349260820805,9.917601373
Type,Requests per second,Duration,,
grpc,10000,3s,
grpc,12000,3s,
Response time,Success,Error,End time,
2.10292ms,true,-,May  9 21:23:43.977720151
2.14673ms,true,-,May  9 21:23:43.977727098
2.128552ms,true,-,May  9 21:23:43.977732834
2.129699ms,true,-,May  9 21:23:43.977740900
2.147747ms,true,-,May  9 21:23:43.977743471
2.326713ms,true,-,May  9 21:23:43.977748261
2.102477ms,true,-,May  9 21:23:43.977752207
2.128573ms,true,-,May  9 21:23:43.977753177
2.090186ms,true,-,May  9 21:23:43.977754521
2.408192ms,true,-,May  9 21:23:43.977755197
2.299574ms,true,-,May  9 21:23:43.977756751
2.301014ms,true,-,May  9 21:23:43.977762004
2.300565ms,true,-,May  9 21:23:43.977764319
2.260673ms,true,-,May  9 21:23:43.977764369
2.203466ms,true,-,May  9 21:23:43.977766544
2.264308ms,true,-,May  9 21:23:43.977767214
2.258922ms,true,-,May  9 21:23:43.977768727
2.120294ms,true,-,May  9 21:23:43.977776834
2.205461ms,true,-,May  9 21:23:43.977778085
2.270048ms,true,-,May  9 21:23:43.977780528
2.197117ms,true,-,May  9 21:23:43.977783654
2.268267ms,true,-,May  9 21:23:43.977784466
2.141329ms,true,-,May  9 21:23:43.977787140
2.107468ms,true,-,May  9 21:23:43.977788500
2.323151ms,true,-,May  9 21:23:43.977794344
2.265625ms,true,-,May  9 21:23:43.977794576
2.122902ms,true,-,May  9 21:23:43.977796244
2.347632ms,true,-,May  9 21:23:43.977796754
2.15146ms,true,-,May  9 21:23:43.977800843
2.278604ms,true,-,May  9 21:23:43.977801079
2.127939ms,true,-,May  9 21:23:43.977803892
2.328286ms,true,-,May  9 21:23:43.977805076
2.317754ms,true,-,May  9 21:23:43.977808734
2.128754ms,true,-,May  9 21:23:43.977811937
2.336005ms,true,-,May  9 21:23:43.977820406
2.204105ms,true,-,May  9 21:23:43.977895409
2.19566ms,true,-,May  9 21:23:43.977923425
2.443015ms,true,-,May  9 21:23:43.977932516
2.462041ms,true,-,May  9 21:23:43.977932738
2.218755ms,true,-,May  9 21:23:43.977935952
2.229763ms,true,-,May  9 21:23:43.977949363
2.240189ms,true,-,May  9 21:23:43.977954148
2.238494ms,true,-,May  9 21:23:43.977960057
2.245928ms,true,-,May  9 21:23:43.977971477
2.290281ms,true,-,May  9 21:23:43.977972392
2.259574ms,true,-,May  9 21:23:43.977978884
2.321975ms,true,-,May  9 21:23:43.977979219
2.210302ms,true,-,May  9 21:23:43.977981782
2.499703ms,true,-,May  9 21:23:43.977983190
2.50502ms,true,-,May  9 21:23:43.977983247
2.238634ms,true,-,May  9 21:23:43.977988751
2.26359ms,true,-,May  9 21:23:43.977991743
2.248365ms,true,-,May  9 21:23:43.978002405
2.269084ms,true,-,May  9 21:23:43.978004029
2.272672ms,true,-,May  9 21:23:43.978005905
2.278662ms,true,-,May  9 21:23:43.978009070
2.274522ms,true,-,May  9 21:23:43.978012636
2.271764ms,true,-,May  9 21:23:43.978017607
2.28436ms,true,-,May  9 21:23:43.978022068
2.260505ms,true,-,May  9 21:23:43.978024571
2.286901ms,true,-,May  9 21:23:43.978029100
2.27435ms,true,-,May  9 21:23:43.978036344
2.27888ms,true,-,May  9 21:23:43.978038214
2.276086ms,true,-,May  9 21:23:43.978039602
2.297984ms,true,-,May  9 21:23:43.978044000
2.286571ms,true,-,May  9 21:23:43.978052865
2.303615ms,true,-,May  9 21:23:43.978052915
2.312181ms,true,-,May  9 21:23:43.978054783
2.448455ms,true,-,May  9 21:23:43.978244466
2.478988ms,true,-,May  9 21:23:43.978252401
2.481575ms,true,-,May  9 21:23:43.978269068
2.502735ms,true,-,May  9 21:23:43.978274961
2.50749ms,true,-,May  9 21:23:43.978287957
2.522919ms,true,-,May  9 21:23:43.978296098
2.522939ms,true,-,May  9 21:23:43.978303097
2.04196ms,true,-,May  9 21:23:43.978352597
2.574258ms,true,-,May  9 21:23:43.978353203
2.043111ms,true,-,May  9 21:23:43.978357890
2.075627ms,true,-,May  9 21:23:43.978385172
2.598898ms,true,-,May  9 21:23:43.978389310
2.597197ms,true,-,May  9 21:23:43.978397753
2.153894ms,true,-,May  9 21:23:43.978400204
2.132561ms,true,-,May  9 21:23:43.978425220
2.094088ms,true,-,May  9 21:23:43.978428595
2.10896ms,true,-,May  9 21:23:43.978451365
3.000818ms,true,-,May  9 21:23:43.978858225
2.826199ms,true,-,May  9 21:23:43.978966484
2.690377ms,true,-,May  9 21:23:43.979040181
3.259645ms,true,-,May  9 21:23:43.979056777
2.962527ms,true,-,May  9 21:23:43.979136032
3.361535ms,true,-,May  9 21:23:43.979160420
2.832916ms,true,-,May  9 21:23:43.979168567
2.909491ms,true,-,May  9 21:23:43.979212063
3.447932ms,true,-,May  9 21:23:43.979239024
3.437079ms,true,-,May  9 21:23:43.979241162
3.451475ms,true,-,May  9 21:23:43.979257376
1.382052ms,true,-,May  9 21:23:43.979263481
2.990673ms,true,-,May  9 21:23:43.979277569
3.035037ms,true,-,May  9 21:23:43.979290643
1.488307ms,true,-,May  9 21:23:43.979314746
3.060392ms,true,-,May  9 21:23:43.979379932
3.603858ms,true,-,May  9 21:23:43.979414312
1.582498ms,true,-,May  9 21:23:43.979455716
1.60512ms,true,-,May  9 21:23:43.979460324
1.615745ms,true,-,May  9 21:23:43.979478572
1.659444ms,true,-,May  9 21:23:43.979483527
1.681233ms,true,-,May  9 21:23:43.979504234
1.628809ms,true,-,May  9 21:23:43.979524459
1.642579ms,true,-,May  9 21:23:43.979530105
1.791679ms,true,-,May  9 21:23:43.979677197
1.934307ms,true,-,May  9 21:23:43.979831526
1.952931ms,true,-,May  9 21:23:43.979841942
2.016558ms,true,-,May  9 21:23:43.979942223
2.097821ms,true,-,May  9 21:23:43.979949435
2.056974ms,true,-,May  9 21:23:43.979990191
2.128793ms,true,-,May  9 21:23:43.980028506
2.117133ms,true,-,May  9 21:23:43.980065179
2.210714ms,true,-,May  9 21:23:43.980121847
2.237028ms,true,-,May  9 21:23:43.980135247
2.262351ms,true,-,May  9 21:23:43.980224706
2.272377ms,true,-,May  9 21:23:43.980236868
2.296208ms,true,-,May  9 21:23:43.980252020
2.350463ms,true,-,May  9 21:23:43.980271053
2.305278ms,true,-,May  9 21:23:43.980278601
2.334282ms,true,-,May  9 21:23:43.980286310
2.417165ms,true,-,May  9 21:23:43.980362502
2.387115ms,true,-,May  9 21:23:43.980378016
2.462906ms,true,-,May  9 21:23:43.980389784
2.486973ms,true,-,May  9 21:23:43.980480839
2.500099ms,true,-,May  9 21:23:43.980492935
2.55753ms,true,-,May  9 21:23:43.980529920
2.685212ms,true,-,May  9 21:23:43.980666153
