
Number of requests,Medium response time,Error percentage,Throughput
66000,790.979415ms,0,673.4698934347821
Type,Requests per second,Duration,
rest,10000,3s,
rest,12000,3s,
Response time,Success,Error,End time
70.97828ms,true,-,May  8 14:21:12.139123412
73.533057ms,true,-,May  8 14:21:12.141685007
73.690673ms,true,-,May  8 14:21:12.141882454
71.612478ms,true,-,May  8 14:21:12.142145486
73.868191ms,true,-,May  8 14:21:12.142184634
71.863048ms,true,-,May  8 14:21:12.143909209
72.63028ms,true,-,May  8 14:21:12.144708401
76.660963ms,true,-,May  8 14:21:12.144710052
72.759475ms,true,-,May  8 14:21:12.144795613
74.404317ms,true,-,May  8 14:21:12.144872995
77.026164ms,true,-,May  8 14:21:12.144931990
75.000319ms,true,-,May  8 14:21:12.145340319
77.243699ms,true,-,May  8 14:21:12.145365071
75.511272ms,true,-,May  8 14:21:12.146046227
75.344768ms,true,-,May  8 14:21:12.146132561
78.132568ms,true,-,May  8 14:21:12.146281497
74.253841ms,true,-,May  8 14:21:12.146430829
74.557014ms,true,-,May  8 14:21:12.146647354
76.381932ms,true,-,May  8 14:21:12.146784464
77.976473ms,true,-,May  8 14:21:12.146921216
78.8992ms,true,-,May  8 14:21:12.147122266
78.559791ms,true,-,May  8 14:21:12.148988314
79.881735ms,true,-,May  8 14:21:12.149567662
81.478732ms,true,-,May  8 14:21:12.149632959
78.021305ms,true,-,May  8 14:21:12.150241189
8.374662ms,true,-,May  8 14:21:12.150264203
80.064396ms,true,-,May  8 14:21:12.150506254
78.479021ms,true,-,May  8 14:21:12.150507248
78.666322ms,true,-,May  8 14:21:12.150761333
8.64509ms,true,-,May  8 14:21:12.150836337
83.002007ms,true,-,May  8 14:21:12.151108003
78.837522ms,true,-,May  8 14:21:12.151133261
83.565709ms,true,-,May  8 14:21:12.151667038
81.569993ms,true,-,May  8 14:21:12.153531267
84.974101ms,true,-,May  8 14:21:12.155273459
11.007805ms,true,-,May  8 14:21:12.155812344
86.913591ms,true,-,May  8 14:21:12.155838615
87.903185ms,true,-,May  8 14:21:12.156073272
85.840681ms,true,-,May  8 14:21:12.156473365
84.508495ms,true,-,May  8 14:21:12.156539872
88.429331ms,true,-,May  8 14:21:12.156808301
86.320833ms,true,-,May  8 14:21:12.156812949
12.05946ms,true,-,May  8 14:21:12.156936980
86.646229ms,true,-,May  8 14:21:12.157019542
85.143078ms,true,-,May  8 14:21:12.157134959
89.296944ms,true,-,May  8 14:21:12.157435054
87.144183ms,true,-,May  8 14:21:12.157566679
89.192035ms,true,-,May  8 14:21:12.157568760
87.319755ms,true,-,May  8 14:21:12.157645376
85.648979ms,true,-,May  8 14:21:12.157771124
85.747828ms,true,-,May  8 14:21:12.157916405
86.078023ms,true,-,May  8 14:21:12.158075106
90.329069ms,true,-,May  8 14:21:12.158535482
87.174586ms,true,-,May  8 14:21:12.159304719
88.888279ms,true,-,May  8 14:21:12.159360646
14.079728ms,true,-,May  8 14:21:12.159449592
15.879541ms,true,-,May  8 14:21:12.159799117
89.796581ms,true,-,May  8 14:21:12.161785325
19.983906ms,true,-,May  8 14:21:12.162135953
94.113494ms,true,-,May  8 14:21:12.162274444
90.544172ms,true,-,May  8 14:21:12.162545417
92.592669ms,true,-,May  8 14:21:12.162948870
94.945913ms,true,-,May  8 14:21:12.163112489
