
Number of requests,Medium response time,Error percentage,Throughput,Duration
66000,93.951196ms,0,3876.0930581836787,17.027454968
Type,Requests per second,Duration,,
rest,10000,3s,
rest,12000,3s,
Response time,Success,Error,End time,
3.88104ms,true,-,May  9 21:50:30.606638915
27.579061ms,true,-,May  9 21:50:30.630885074
27.73154ms,true,-,May  9 21:50:30.630886103
28.410958ms,true,-,May  9 21:50:30.630885108
28.228785ms,true,-,May  9 21:50:30.630892258
28.857858ms,true,-,May  9 21:50:30.630893682
27.610943ms,true,-,May  9 21:50:30.630893876
28.587451ms,true,-,May  9 21:50:30.630896819
28.219633ms,true,-,May  9 21:50:30.630901177
28.641109ms,true,-,May  9 21:50:30.630903929
28.285368ms,true,-,May  9 21:50:30.630905224
27.479454ms,true,-,May  9 21:50:30.630905252
28.518384ms,true,-,May  9 21:50:30.630908237
28.285459ms,true,-,May  9 21:50:30.630918917
28.224276ms,true,-,May  9 21:50:30.630920467
29.120977ms,true,-,May  9 21:50:30.631500055
28.159083ms,true,-,May  9 21:50:30.631516070
28.861592ms,true,-,May  9 21:50:30.631572333
29.39631ms,true,-,May  9 21:50:30.631572852
28.89542ms,true,-,May  9 21:50:30.631575207
28.199175ms,true,-,May  9 21:50:30.631581191
29.2125ms,true,-,May  9 21:50:30.631581559
28.395079ms,true,-,May  9 21:50:30.631638158
28.978756ms,true,-,May  9 21:50:30.631641204
29.082754ms,true,-,May  9 21:50:30.631677905
29.251338ms,true,-,May  9 21:50:30.631686401
29.695228ms,true,-,May  9 21:50:30.631689015
29.360273ms,true,-,May  9 21:50:30.631692633
29.099701ms,true,-,May  9 21:50:30.631696215
29.168503ms,true,-,May  9 21:50:30.631706378
28.550597ms,true,-,May  9 21:50:30.631742447
28.393176ms,true,-,May  9 21:50:30.631807003
29.366262ms,true,-,May  9 21:50:30.631821470
29.663814ms,true,-,May  9 21:50:30.631832279
30.298171ms,true,-,May  9 21:50:30.632674320
30.464628ms,true,-,May  9 21:50:30.632898493
33.1ms,true,-,May  9 21:50:30.635274358
32.009253ms,true,-,May  9 21:50:30.635285972
32.101417ms,true,-,May  9 21:50:30.635449461
32.003225ms,true,-,May  9 21:50:30.635709895
33.19819ms,true,-,May  9 21:50:30.635771314
32.462492ms,true,-,May  9 21:50:30.635842718
33.607444ms,true,-,May  9 21:50:30.635851521
33.425808ms,true,-,May  9 21:50:30.635920518
33.388421ms,true,-,May  9 21:50:30.635954343
31.36026ms,true,-,May  9 21:50:30.635996241
33.550671ms,true,-,May  9 21:50:30.636064031
33.331103ms,true,-,May  9 21:50:30.636091170
32.756412ms,true,-,May  9 21:50:30.636096199
31.203221ms,true,-,May  9 21:50:30.636105048
31.333471ms,true,-,May  9 21:50:30.636176352
33.646256ms,true,-,May  9 21:50:30.636181280
31.622851ms,true,-,May  9 21:50:30.636298499
4.793878ms,true,-,May  9 21:50:30.636304776
34.223648ms,true,-,May  9 21:50:30.636309810
32.891742ms,true,-,May  9 21:50:30.636337354
31.713067ms,true,-,May  9 21:50:30.636348628
34.208266ms,true,-,May  9 21:50:30.636495152
33.273012ms,true,-,May  9 21:50:30.636501188
34.450579ms,true,-,May  9 21:50:30.636604432
32.519485ms,true,-,May  9 21:50:30.636651838
34.414958ms,true,-,May  9 21:50:30.636695819
34.764408ms,true,-,May  9 21:50:30.636760365
32.196199ms,true,-,May  9 21:50:30.636853235
32.047159ms,true,-,May  9 21:50:30.636923554
33.903817ms,true,-,May  9 21:50:30.636977797
6.084379ms,true,-,May  9 21:50:30.637005545
5.519191ms,true,-,May  9 21:50:30.637024971
5.381175ms,true,-,May  9 21:50:30.637082898
1.817015ms,true,-,May  9 21:50:30.637100795
34.48106ms,true,-,May  9 21:50:30.637119167
34.752191ms,true,-,May  9 21:50:30.637184510
33.118328ms,true,-,May  9 21:50:30.637194015
34.736635ms,true,-,May  9 21:50:30.637354209
33.868548ms,true,-,May  9 21:50:30.637508482
35.265486ms,true,-,May  9 21:50:30.637618174
35.274423ms,true,-,May  9 21:50:30.638806136
37.173241ms,true,-,May  9 21:50:30.639501910
4.60464ms,true,-,May  9 21:50:30.640608191
4.748167ms,true,-,May  9 21:50:30.640672749
8.996437ms,true,-,May  9 21:50:30.640757959
38.260241ms,true,-,May  9 21:50:30.640843238
38.687326ms,true,-,May  9 21:50:30.640849730
4.209986ms,true,-,May  9 21:50:30.640911467
5.033103ms,true,-,May  9 21:50:30.640992686
9.28863ms,true,-,May  9 21:50:30.640997210
8.087415ms,true,-,May  9 21:50:30.641002361
9.671198ms,true,-,May  9 21:50:30.641142985
37.416002ms,true,-,May  9 21:50:30.641190971
4.56613ms,true,-,May  9 21:50:30.641226897
36.532438ms,true,-,May  9 21:50:30.641265788
6.61537ms,true,-,May  9 21:50:30.641908836
5.423088ms,true,-,May  9 21:50:30.642031724
10.371743ms,true,-,May  9 21:50:30.642132098
10.671909ms,true,-,May  9 21:50:30.642182003
37.510498ms,true,-,May  9 21:50:30.642302548
10.736427ms,true,-,May  9 21:50:30.642480935
35.633793ms,true,-,May  9 21:50:30.642574957
10.875181ms,true,-,May  9 21:50:30.642631898
11.811921ms,true,-,May  9 21:50:30.642711269
6.688729ms,true,-,May  9 21:50:30.642790158
5.818065ms,true,-,May  9 21:50:30.642905432
11.440264ms,true,-,May  9 21:50:30.642929683
38.352885ms,true,-,May  9 21:50:30.643072060
11.308249ms,true,-,May  9 21:50:30.643146101
6.979792ms,true,-,May  9 21:50:30.643164740
39.976889ms,true,-,May  9 21:50:30.643298969
41.228483ms,true,-,May  9 21:50:30.643362877
11.654827ms,true,-,May  9 21:50:30.643478399
38.974862ms,true,-,May  9 21:50:30.643553498
6.687861ms,true,-,May  9 21:50:30.643718341
12.832664ms,true,-,May  9 21:50:30.643743958
6.342118ms,true,-,May  9 21:50:30.643874817
41.839167ms,true,-,May  9 21:50:30.643940640
13.131654ms,true,-,May  9 21:50:30.644022944
10.977668ms,true,-,May  9 21:50:30.644116568
42.070067ms,true,-,May  9 21:50:30.644215100
7.24199ms,true,-,May  9 21:50:30.644224740
7.936303ms,true,-,May  9 21:50:30.644278580
40.641496ms,true,-,May  9 21:50:30.644331844
39.706996ms,true,-,May  9 21:50:30.644358215
41.063435ms,true,-,May  9 21:50:30.644376557
8.276385ms,true,-,May  9 21:50:30.644384799
13.523075ms,true,-,May  9 21:50:30.644420322
42.164718ms,true,-,May  9 21:50:30.644497991
12.74524ms,true,-,May  9 21:50:30.644507913
12.83043ms,true,-,May  9 21:50:30.644587998
39.837622ms,true,-,May  9 21:50:30.644703383
41.258925ms,true,-,May  9 21:50:30.644712844
39.889374ms,true,-,May  9 21:50:30.644717986
8.676807ms,true,-,May  9 21:50:30.644856787
6.044811ms,true,-,May  9 21:50:30.644857521
8.562278ms,true,-,May  9 21:50:30.644865468
13.123612ms,true,-,May  9 21:50:30.644885101
