
Number of requests,Medium response time,Error percentage,Throughput
66000,625.539461ms,0,840.8873177503584
Type,Requests per second,Duration,
grpc,10000,3s,
grpc,12000,3s,
Response time,Success,Error,End time
7.353129ms,true,-,May  8 14:12:47.956278090
7.185471ms,true,-,May  8 14:12:47.956287729
7.196765ms,true,-,May  8 14:12:47.956310499
7.472517ms,true,-,May  8 14:12:47.956390521
7.330243ms,true,-,May  8 14:12:47.956455767
7.312156ms,true,-,May  8 14:12:47.956473134
7.600754ms,true,-,May  8 14:12:47.956659857
7.919957ms,true,-,May  8 14:12:47.956696638
7.867966ms,true,-,May  8 14:12:47.956890614
16.168174ms,true,-,May  8 14:12:47.965438808
16.525908ms,true,-,May  8 14:12:47.965545406
16.538349ms,true,-,May  8 14:12:47.965634552
16.485811ms,true,-,May  8 14:12:47.965714052
16.61229ms,true,-,May  8 14:12:47.965912244
16.850902ms,true,-,May  8 14:12:47.965918900
16.73821ms,true,-,May  8 14:12:47.965933687
16.737143ms,true,-,May  8 14:12:47.965938603
17.133756ms,true,-,May  8 14:12:47.965962720
15.910492ms,true,-,May  8 14:12:47.966062340
16.89103ms,true,-,May  8 14:12:47.966144879
16.840885ms,true,-,May  8 14:12:47.966148713
17.041868ms,true,-,May  8 14:12:47.966373832
17.062392ms,true,-,May  8 14:12:47.966381833
86.624501ms,true,-,May  8 14:12:48.035754868
85.526134ms,true,-,May  8 14:12:48.035776819
86.896809ms,true,-,May  8 14:12:48.035782325
86.805973ms,true,-,May  8 14:12:48.035827416
86.756251ms,true,-,May  8 14:12:48.035956597
87.066526ms,true,-,May  8 14:12:48.036017979
86.938569ms,true,-,May  8 14:12:48.036132064
86.918399ms,true,-,May  8 14:12:48.036145906
85.916202ms,true,-,May  8 14:12:48.036170568
87.140982ms,true,-,May  8 14:12:48.036183560
87.304328ms,true,-,May  8 14:12:48.036358322
87.310936ms,true,-,May  8 14:12:48.036390883
86.189622ms,true,-,May  8 14:12:48.036400589
86.157332ms,true,-,May  8 14:12:48.036414910
87.289532ms,true,-,May  8 14:12:48.036433585
86.165414ms,true,-,May  8 14:12:48.036474874
87.174345ms,true,-,May  8 14:12:48.036519311
86.396427ms,true,-,May  8 14:12:48.036583949
87.300093ms,true,-,May  8 14:12:48.036591149
87.471945ms,true,-,May  8 14:12:48.036605200
86.313527ms,true,-,May  8 14:12:48.036637778
86.395333ms,true,-,May  8 14:12:48.036663321
87.065025ms,true,-,May  8 14:12:48.037250250
87.072996ms,true,-,May  8 14:12:48.037296049
88.131785ms,true,-,May  8 14:12:48.037478990
88.145972ms,true,-,May  8 14:12:48.037520721
88.115257ms,true,-,May  8 14:12:48.037545694
88.395654ms,true,-,May  8 14:12:48.037773482
88.515432ms,true,-,May  8 14:12:48.037773681
91.068678ms,true,-,May  8 14:12:48.041438851
92.550112ms,true,-,May  8 14:12:48.042202774
91.914446ms,true,-,May  8 14:12:48.042257688
92.916396ms,true,-,May  8 14:12:48.042331862
92.982604ms,true,-,May  8 14:12:48.042368863
93.090387ms,true,-,May  8 14:12:48.042383123
93.152945ms,true,-,May  8 14:12:48.042438742
93.279797ms,true,-,May  8 14:12:48.042551910
92.20895ms,true,-,May  8 14:12:48.042575276
93.394032ms,true,-,May  8 14:12:48.042613044
93.316548ms,true,-,May  8 14:12:48.042666891
93.352461ms,true,-,May  8 14:12:48.042719187
92.535783ms,true,-,May  8 14:12:48.042773474
92.500278ms,true,-,May  8 14:12:48.042804872
93.248834ms,true,-,May  8 14:12:48.042834957
92.542629ms,true,-,May  8 14:12:48.042898636
93.838586ms,true,-,May  8 14:12:48.042996658
93.708979ms,true,-,May  8 14:12:48.043022507
93.696755ms,true,-,May  8 14:12:48.043056942
93.095517ms,true,-,May  8 14:12:48.043128416
92.851635ms,true,-,May  8 14:12:48.043196480
93.021693ms,true,-,May  8 14:12:48.043201305
93.944954ms,true,-,May  8 14:12:48.043322389
94.119822ms,true,-,May  8 14:12:48.043384648
93.442165ms,true,-,May  8 14:12:48.043749506
94.151025ms,true,-,May  8 14:12:48.044276048
94.19101ms,true,-,May  8 14:12:48.044554944
87.632332ms,true,-,May  8 14:12:48.044555753
94.047186ms,true,-,May  8 14:12:48.044757029
95.765284ms,true,-,May  8 14:12:48.044763031
95.783715ms,true,-,May  8 14:12:48.044935385
96.015222ms,true,-,May  8 14:12:48.045012405
78.998742ms,true,-,May  8 14:12:48.045185827
95.757929ms,true,-,May  8 14:12:48.045437817
