
Number of requests,Medium response time,Error percentage,Throughput
66000,630.459507ms,0,832.4605818695187
Type,Requests per second,Duration,
grpc,10000,3s,
grpc,12000,3s,
Response time,Success,Error,End time
5.152538ms,true,-,May  8 14:15:25.365975283
5.919109ms,true,-,May  8 14:15:25.366856309
8.607186ms,true,-,May  8 14:15:25.369620305
8.99473ms,true,-,May  8 14:15:25.369672034
11.521391ms,true,-,May  8 14:15:25.372578611
11.030883ms,true,-,May  8 14:15:25.372809497
11.823898ms,true,-,May  8 14:15:25.372847815
11.29542ms,true,-,May  8 14:15:25.373021076
12.082274ms,true,-,May  8 14:15:25.373039788
12.528569ms,true,-,May  8 14:15:25.373304165
12.675797ms,true,-,May  8 14:15:25.373799907
12.869968ms,true,-,May  8 14:15:25.373992972
12.454669ms,true,-,May  8 14:15:25.374234883
14.197221ms,true,-,May  8 14:15:25.375302009
13.641658ms,true,-,May  8 14:15:25.375334239
5.779232ms,true,-,May  8 14:15:25.375460060
14.509576ms,true,-,May  8 14:15:25.375466416
13.769866ms,true,-,May  8 14:15:25.375516999
13.701015ms,true,-,May  8 14:15:25.375522707
14.436726ms,true,-,May  8 14:15:25.375581689
14.560096ms,true,-,May  8 14:15:25.375625045
14.405371ms,true,-,May  8 14:15:25.375657733
70.806192ms,true,-,May  8 14:15:25.431674598
71.036192ms,true,-,May  8 14:15:25.432247186
71.555475ms,true,-,May  8 14:15:25.432446246
58.387665ms,true,-,May  8 14:15:25.432666304
72.266332ms,true,-,May  8 14:15:25.432730248
71.578032ms,true,-,May  8 14:15:25.432760539
71.722792ms,true,-,May  8 14:15:25.432781794
72.092648ms,true,-,May  8 14:15:25.432839480
71.796481ms,true,-,May  8 14:15:25.432867145
71.991307ms,true,-,May  8 14:15:25.432951350
71.871031ms,true,-,May  8 14:15:25.432970667
72.343073ms,true,-,May  8 14:15:25.433209820
76.04323ms,true,-,May  8 14:15:25.436970720
76.150964ms,true,-,May  8 14:15:25.437144619
70.987246ms,true,-,May  8 14:15:25.437153659
76.13666ms,true,-,May  8 14:15:25.437191324
76.136872ms,true,-,May  8 14:15:25.437218444
76.59485ms,true,-,May  8 14:15:25.437219972
76.688161ms,true,-,May  8 14:15:25.437283560
75.66016ms,true,-,May  8 14:15:25.437332327
76.839004ms,true,-,May  8 14:15:25.437373679
76.170614ms,true,-,May  8 14:15:25.437383317
76.167802ms,true,-,May  8 14:15:25.437402158
76.784088ms,true,-,May  8 14:15:25.437408912
76.611223ms,true,-,May  8 14:15:25.437550241
80.065026ms,true,-,May  8 14:15:25.441815665
80.702215ms,true,-,May  8 14:15:25.442518364
81.879894ms,true,-,May  8 14:15:25.442775271
81.862261ms,true,-,May  8 14:15:25.442784845
80.650122ms,true,-,May  8 14:15:25.442793396
81.809878ms,true,-,May  8 14:15:25.442891654
82.355546ms,true,-,May  8 14:15:25.442953711
81.935229ms,true,-,May  8 14:15:25.443049754
76.163979ms,true,-,May  8 14:15:25.443099444
81.48627ms,true,-,May  8 14:15:25.443192260
82.142227ms,true,-,May  8 14:15:25.443248930
82.230742ms,true,-,May  8 14:15:25.443411810
82.234649ms,true,-,May  8 14:15:25.443454852
83.010836ms,true,-,May  8 14:15:25.444146162
82.901417ms,true,-,May  8 14:15:25.444153667
83.323357ms,true,-,May  8 14:15:25.444445558
83.40948ms,true,-,May  8 14:15:25.444567643
83.456548ms,true,-,May  8 14:15:25.444680626
83.636264ms,true,-,May  8 14:15:25.444724257
83.842987ms,true,-,May  8 14:15:25.444751891
86.0412ms,true,-,May  8 14:15:25.446678873
85.654438ms,true,-,May  8 14:15:25.446805215
85.688926ms,true,-,May  8 14:15:25.446908076
85.885651ms,true,-,May  8 14:15:25.447040293
171.911306ms,true,-,May  8 14:15:25.533083421
100.301836ms,true,-,May  8 14:15:25.533091465
172.107479ms,true,-,May  8 14:15:25.533159526
171.45832ms,true,-,May  8 14:15:25.533165160
172.046947ms,true,-,May  8 14:15:25.533189273
172.339493ms,true,-,May  8 14:15:25.533330143
160.497261ms,true,-,May  8 14:15:25.533350346
160.573438ms,true,-,May  8 14:15:25.533393132
