
Number of requests,Medium response time,Error percentage,Throughput,Duration
66000,31.524332ms,0,6545.415889202002,10.083392884
Type,Requests per second,Duration,,
grpc,10000,3s,
grpc,12000,3s,
Response time,Success,Error,End time,
1.588198ms,true,-,May  9 21:50:17.261124054
1.544157ms,true,-,May  9 21:50:17.261131812
1.538973ms,true,-,May  9 21:50:17.261124292
1.707202ms,true,-,May  9 21:50:17.261141764
1.501972ms,true,-,May  9 21:50:17.261143554
1.474376ms,true,-,May  9 21:50:17.261144250
1.58625ms,true,-,May  9 21:50:17.261145282
1.494243ms,true,-,May  9 21:50:17.261148222
1.519131ms,true,-,May  9 21:50:17.261148335
1.519513ms,true,-,May  9 21:50:17.261149895
1.489969ms,true,-,May  9 21:50:17.261151291
1.333449ms,true,-,May  9 21:50:17.261151654
1.558976ms,true,-,May  9 21:50:17.261151424
1.477023ms,true,-,May  9 21:50:17.261154321
1.512071ms,true,-,May  9 21:50:17.261155903
1.51954ms,true,-,May  9 21:50:17.261156747
1.621165ms,true,-,May  9 21:50:17.261156892
1.488264ms,true,-,May  9 21:50:17.261157062
1.499864ms,true,-,May  9 21:50:17.261159192
1.556095ms,true,-,May  9 21:50:17.261159237
1.441875ms,true,-,May  9 21:50:17.261161914
1.379796ms,true,-,May  9 21:50:17.261164294
1.399451ms,true,-,May  9 21:50:17.261165082
1.329734ms,true,-,May  9 21:50:17.261165413
1.355593ms,true,-,May  9 21:50:17.261166339
1.345754ms,true,-,May  9 21:50:17.261166817
1.446069ms,true,-,May  9 21:50:17.261167518
1.340941ms,true,-,May  9 21:50:17.261168034
1.338678ms,true,-,May  9 21:50:17.261168222
1.360216ms,true,-,May  9 21:50:17.261169388
1.399846ms,true,-,May  9 21:50:17.261170205
1.35276ms,true,-,May  9 21:50:17.261170351
1.532225ms,true,-,May  9 21:50:17.261170249
1.439084ms,true,-,May  9 21:50:17.261172865
1.363819ms,true,-,May  9 21:50:17.261173830
1.407799ms,true,-,May  9 21:50:17.261175277
1.614653ms,true,-,May  9 21:50:17.261176751
1.401661ms,true,-,May  9 21:50:17.261177611
1.523223ms,true,-,May  9 21:50:17.261177820
1.41729ms,true,-,May  9 21:50:17.261179977
1.399039ms,true,-,May  9 21:50:17.261182187
1.776856ms,true,-,May  9 21:50:17.261182452
1.466233ms,true,-,May  9 21:50:17.261184202
1.400147ms,true,-,May  9 21:50:17.261184676
1.492945ms,true,-,May  9 21:50:17.261185233
1.475482ms,true,-,May  9 21:50:17.261186207
1.427146ms,true,-,May  9 21:50:17.261187002
1.511742ms,true,-,May  9 21:50:17.261187649
1.478151ms,true,-,May  9 21:50:17.261188448
1.578011ms,true,-,May  9 21:50:17.261188517
1.415886ms,true,-,May  9 21:50:17.261190281
1.58024ms,true,-,May  9 21:50:17.261191075
1.467283ms,true,-,May  9 21:50:17.261192280
1.648801ms,true,-,May  9 21:50:17.261193421
1.510399ms,true,-,May  9 21:50:17.261194962
1.503349ms,true,-,May  9 21:50:17.261195930
1.520294ms,true,-,May  9 21:50:17.261197555
1.505642ms,true,-,May  9 21:50:17.261197677
1.509044ms,true,-,May  9 21:50:17.261198147
1.443064ms,true,-,May  9 21:50:17.261198025
1.447139ms,true,-,May  9 21:50:17.261199940
1.467619ms,true,-,May  9 21:50:17.261200119
1.557074ms,true,-,May  9 21:50:17.261202251
1.517217ms,true,-,May  9 21:50:17.261202461
1.461375ms,true,-,May  9 21:50:17.261213632
1.474458ms,true,-,May  9 21:50:17.261244707
1.529903ms,true,-,May  9 21:50:17.261244991
1.412535ms,true,-,May  9 21:50:17.261250534
1.273447ms,true,-,May  9 21:50:17.261506474
1.243734ms,true,-,May  9 21:50:17.261506704
1.295603ms,true,-,May  9 21:50:17.261522306
1.317598ms,true,-,May  9 21:50:17.261526228
1.307551ms,true,-,May  9 21:50:17.261526852
1.243248ms,true,-,May  9 21:50:17.261529786
1.245584ms,true,-,May  9 21:50:17.261531661
1.707785ms,true,-,May  9 21:50:17.261547347
1.276714ms,true,-,May  9 21:50:17.261550480
1.73151ms,true,-,May  9 21:50:17.261574574
1.296103ms,true,-,May  9 21:50:17.261593659
1.308037ms,true,-,May  9 21:50:17.261612114
1.304005ms,true,-,May  9 21:50:17.261632701
1.502864ms,true,-,May  9 21:50:17.261811065
1.470805ms,true,-,May  9 21:50:17.261839850
1.540146ms,true,-,May  9 21:50:17.261857192
1.583695ms,true,-,May  9 21:50:17.261900321
1.546884ms,true,-,May  9 21:50:17.261902867
1.580397ms,true,-,May  9 21:50:17.261920419
1.647877ms,true,-,May  9 21:50:17.261976345
2.167133ms,true,-,May  9 21:50:17.262027390
1.679995ms,true,-,May  9 21:50:17.262050313
2.206755ms,true,-,May  9 21:50:17.262051900
1.675547ms,true,-,May  9 21:50:17.262055643
825.176µs,true,-,May  9 21:50:17.262075146
1.749529ms,true,-,May  9 21:50:17.262090068
1.571739ms,true,-,May  9 21:50:17.262099010
2.224389ms,true,-,May  9 21:50:17.262107107
1.761266ms,true,-,May  9 21:50:17.262114815
1.777089ms,true,-,May  9 21:50:17.262119511
1.7503ms,true,-,May  9 21:50:17.262131242
1.7476ms,true,-,May  9 21:50:17.262140605
973.451µs,true,-,May  9 21:50:17.262239495
978.586µs,true,-,May  9 21:50:17.262274501
922.344µs,true,-,May  9 21:50:17.262279401
1.038314ms,true,-,May  9 21:50:17.262292773
1.066488ms,true,-,May  9 21:50:17.262323789
1.012592ms,true,-,May  9 21:50:17.262324413
1.072241ms,true,-,May  9 21:50:17.262328263
997.763µs,true,-,May  9 21:50:17.262337401
1.019003ms,true,-,May  9 21:50:17.262351735
1.981452ms,true,-,May  9 21:50:17.262352906
1.074292ms,true,-,May  9 21:50:17.262355875
1.004303ms,true,-,May  9 21:50:17.262358544
1.065285ms,true,-,May  9 21:50:17.262359511
1.088446ms,true,-,May  9 21:50:17.262371553
1.022544ms,true,-,May  9 21:50:17.262374872
1.060882ms,true,-,May  9 21:50:17.262380756
1.093655ms,true,-,May  9 21:50:17.262391845
1.068697ms,true,-,May  9 21:50:17.262396121
1.07623ms,true,-,May  9 21:50:17.262400990
1.083336ms,true,-,May  9 21:50:17.262401670
1.097065ms,true,-,May  9 21:50:17.262404695
1.043448ms,true,-,May  9 21:50:17.262407624
1.07825ms,true,-,May  9 21:50:17.262412650
1.032404ms,true,-,May  9 21:50:17.262414988
1.112135ms,true,-,May  9 21:50:17.262420972
1.095573ms,true,-,May  9 21:50:17.262422857
1.057579ms,true,-,May  9 21:50:17.262438131
1.068712ms,true,-,May  9 21:50:17.262438559
1.07637ms,true,-,May  9 21:50:17.262438795
1.085745ms,true,-,May  9 21:50:17.262460540
1.1133ms,true,-,May  9 21:50:17.262545147
1.159143ms,true,-,May  9 21:50:17.262564363
1.185947ms,true,-,May  9 21:50:17.262576302
