
Number of requests,Medium response time,Error percentage,Throughput
66000,777.355956ms,0,685.9160554510389
Type,Requests per second,Duration,
rest,10000,3s,
rest,12000,3s,
Response time,Success,Error,End time
94.529792ms,true,-,May  8 14:19:34.311567645
94.510372ms,true,-,May  8 14:19:34.311907333
94.837473ms,true,-,May  8 14:19:34.311946698
93.17458ms,true,-,May  8 14:19:34.312146122
91.264515ms,true,-,May  8 14:19:34.312203779
94.981431ms,true,-,May  8 14:19:34.312302649
95.369381ms,true,-,May  8 14:19:34.312341072
96.100438ms,true,-,May  8 14:19:34.312833625
94.693333ms,true,-,May  8 14:19:34.312952827
97.251378ms,true,-,May  8 14:19:34.313860491
98.88779ms,true,-,May  8 14:19:34.315891043
99.469644ms,true,-,May  8 14:19:34.316160326
98.837152ms,true,-,May  8 14:19:34.316530312
98.602655ms,true,-,May  8 14:19:34.316869153
100.144032ms,true,-,May  8 14:19:34.316890273
98.065668ms,true,-,May  8 14:19:34.316944938
99.934284ms,true,-,May  8 14:19:34.317041188
97.309901ms,true,-,May  8 14:19:34.317426649
100.082808ms,true,-,May  8 14:19:34.317441687
96.46656ms,true,-,May  8 14:19:34.317446393
98.731594ms,true,-,May  8 14:19:34.317465278
96.340936ms,true,-,May  8 14:19:34.317499528
98.924528ms,true,-,May  8 14:19:34.317507134
100.49384ms,true,-,May  8 14:19:34.317577527
100.280641ms,true,-,May  8 14:19:34.317633522
101.03064ms,true,-,May  8 14:19:34.317637142
100.356788ms,true,-,May  8 14:19:34.317641747
100.742971ms,true,-,May  8 14:19:34.317689183
100.805455ms,true,-,May  8 14:19:34.317705888
100.40731ms,true,-,May  8 14:19:34.317738442
98.805203ms,true,-,May  8 14:19:34.317767335
100.552329ms,true,-,May  8 14:19:34.317817142
101.928303ms,true,-,May  8 14:19:34.318607318
99.180657ms,true,-,May  8 14:19:34.320170656
103.357443ms,true,-,May  8 14:19:34.320577454
102.320394ms,true,-,May  8 14:19:34.320675026
104.154321ms,true,-,May  8 14:19:34.320823307
100.334494ms,true,-,May  8 14:19:34.321343021
104.602905ms,true,-,May  8 14:19:34.321423801
