
Number of requests,Medium response time,Error percentage,Throughput,Duration
66000,108.19354ms,0,3532.0759207988403,18.68589506
Type,Requests per second,Duration,,
rest,10000,3s,
rest,12000,3s,
Response time,Success,Error,End time,
9.161818ms,true,-,May  9 21:25:51.008999000
60.761095ms,true,-,May  9 21:25:51.060809344
59.909959ms,true,-,May  9 21:25:51.060810091
60.012276ms,true,-,May  9 21:25:51.060811597
60.670982ms,true,-,May  9 21:25:51.060812232
59.911466ms,true,-,May  9 21:25:51.060826277
60.815028ms,true,-,May  9 21:25:51.060828001
59.932283ms,true,-,May  9 21:25:51.060828867
60.733876ms,true,-,May  9 21:25:51.060845064
61.010425ms,true,-,May  9 21:25:51.060849902
60.085766ms,true,-,May  9 21:25:51.060859031
60.70855ms,true,-,May  9 21:25:51.060881686
61.039031ms,true,-,May  9 21:25:51.060883696
60.813628ms,true,-,May  9 21:25:51.060887030
60.944517ms,true,-,May  9 21:25:51.060899738
60.064609ms,true,-,May  9 21:25:51.060913491
60.060016ms,true,-,May  9 21:25:51.060928837
60.904069ms,true,-,May  9 21:25:51.060954143
60.731997ms,true,-,May  9 21:25:51.061472753
61.695ms,true,-,May  9 21:25:51.061760901
60.860431ms,true,-,May  9 21:25:51.061769950
61.644742ms,true,-,May  9 21:25:51.061770897
61.734293ms,true,-,May  9 21:25:51.061885183
61.088696ms,true,-,May  9 21:25:51.061905250
62.106559ms,true,-,May  9 21:25:51.061931391
61.10033ms,true,-,May  9 21:25:51.061933819
61.948723ms,true,-,May  9 21:25:51.061952748
62.178546ms,true,-,May  9 21:25:51.061987106
61.135126ms,true,-,May  9 21:25:51.062048974
61.207908ms,true,-,May  9 21:25:51.062062766
61.922919ms,true,-,May  9 21:25:51.062072818
62.185227ms,true,-,May  9 21:25:51.062087212
61.343865ms,true,-,May  9 21:25:51.062104045
62.058395ms,true,-,May  9 21:25:51.062193341
61.412141ms,true,-,May  9 21:25:51.062290618
62.532737ms,true,-,May  9 21:25:51.062295452
61.464096ms,true,-,May  9 21:25:51.062301132
62.466444ms,true,-,May  9 21:25:51.062319721
61.622485ms,true,-,May  9 21:25:51.062426949
62.402603ms,true,-,May  9 21:25:51.062506222
61.636465ms,true,-,May  9 21:25:51.062508628
62.605223ms,true,-,May  9 21:25:51.062511153
65.188179ms,true,-,May  9 21:25:51.066136133
66.325894ms,true,-,May  9 21:25:51.066311819
5.550123ms,true,-,May  9 21:25:51.066379046
66.342544ms,true,-,May  9 21:25:51.066471217
66.359751ms,true,-,May  9 21:25:51.066473439
5.673292ms,true,-,May  9 21:25:51.066519965
66.477421ms,true,-,May  9 21:25:51.066537593
65.869972ms,true,-,May  9 21:25:51.066583115
66.879162ms,true,-,May  9 21:25:51.066641316
66.665432ms,true,-,May  9 21:25:51.066691559
67.047807ms,true,-,May  9 21:25:51.066850757
66.151003ms,true,-,May  9 21:25:51.067019271
66.263238ms,true,-,May  9 21:25:51.067102306
66.311898ms,true,-,May  9 21:25:51.067165024
67.134878ms,true,-,May  9 21:25:51.067195926
67.19489ms,true,-,May  9 21:25:51.067305913
67.326854ms,true,-,May  9 21:25:51.067359593
67.375281ms,true,-,May  9 21:25:51.067370058
66.684218ms,true,-,May  9 21:25:51.067506749
67.074974ms,true,-,May  9 21:25:51.067835845
66.998977ms,true,-,May  9 21:25:51.067950198
68.281499ms,true,-,May  9 21:25:51.068226571
68.748126ms,true,-,May  9 21:25:51.068718326
68.893619ms,true,-,May  9 21:25:51.068746024
6.939144ms,true,-,May  9 21:25:51.068896953
68.852633ms,true,-,May  9 21:25:51.069010954
69.015931ms,true,-,May  9 21:25:51.069047073
69.234087ms,true,-,May  9 21:25:51.069079082
69.247961ms,true,-,May  9 21:25:51.069231914
7.28117ms,true,-,May  9 21:25:51.069239438
69.442858ms,true,-,May  9 21:25:51.069260213
69.179977ms,true,-,May  9 21:25:51.069268107
68.35382ms,true,-,May  9 21:25:51.069326290
68.560959ms,true,-,May  9 21:25:51.069398552
8.510327ms,true,-,May  9 21:25:51.069399721
69.326761ms,true,-,May  9 21:25:51.069406941
69.31938ms,true,-,May  9 21:25:51.069471880
8.625899ms,true,-,May  9 21:25:51.069477536
69.480908ms,true,-,May  9 21:25:51.069534863
69.526962ms,true,-,May  9 21:25:51.069568323
69.634067ms,true,-,May  9 21:25:51.070517043
10.027874ms,true,-,May  9 21:25:51.070942910
8.187589ms,true,-,May  9 21:25:51.074575643
75.307856ms,true,-,May  9 21:25:51.075140814
75.460487ms,true,-,May  9 21:25:51.075187774
74.298653ms,true,-,May  9 21:25:51.075203678
75.502767ms,true,-,May  9 21:25:51.075212389
8.815657ms,true,-,May  9 21:25:51.075358709
8.843882ms,true,-,May  9 21:25:51.075369946
75.264357ms,true,-,May  9 21:25:51.075395209
9.283246ms,true,-,May  9 21:25:51.075604809
74.722969ms,true,-,May  9 21:25:51.075674213
75.792675ms,true,-,May  9 21:25:51.075744633
74.895447ms,true,-,May  9 21:25:51.075819932
9.371567ms,true,-,May  9 21:25:51.075849618
75.961044ms,true,-,May  9 21:25:51.075929009
15.068194ms,true,-,May  9 21:25:51.075953381
13.51057ms,true,-,May  9 21:25:51.076051609
13.584816ms,true,-,May  9 21:25:51.076139011
76.118579ms,true,-,May  9 21:25:51.076245397
15.544347ms,true,-,May  9 21:25:51.076361075
13.811936ms,true,-,May  9 21:25:51.076372959
15.509129ms,true,-,May  9 21:25:51.076439587
75.688974ms,true,-,May  9 21:25:51.076473117
75.650885ms,true,-,May  9 21:25:51.076584670
76.838857ms,true,-,May  9 21:25:51.076592861
9.759754ms,true,-,May  9 21:25:51.076615647
14.063111ms,true,-,May  9 21:25:51.076625114
14.101293ms,true,-,May  9 21:25:51.076641998
7.38925ms,true,-,May  9 21:25:51.076743102
76.015834ms,true,-,May  9 21:25:51.076744321
7.376606ms,true,-,May  9 21:25:51.076781823
77.030512ms,true,-,May  9 21:25:51.076824881
14.323028ms,true,-,May  9 21:25:51.076870420
14.71159ms,true,-,May  9 21:25:51.076943164
76.109581ms,true,-,May  9 21:25:51.076962963
67.750895ms,true,-,May  9 21:25:51.076968328
8.22478ms,true,-,May  9 21:25:51.076976957
9.977951ms,true,-,May  9 21:25:51.077005638
10.368751ms,true,-,May  9 21:25:51.077019746
76.074855ms,true,-,May  9 21:25:51.077025356
15.082199ms,true,-,May  9 21:25:51.077034289
14.539114ms,true,-,May  9 21:25:51.077069737
10.961498ms,true,-,May  9 21:25:51.077107140
77.28334ms,true,-,May  9 21:25:51.077114137
16.331635ms,true,-,May  9 21:25:51.077232632
7.739778ms,true,-,May  9 21:25:51.077245067
77.157181ms,true,-,May  9 21:25:51.077247163
16.378241ms,true,-,May  9 21:25:51.077262098
14.773431ms,true,-,May  9 21:25:51.077324520
76.500685ms,true,-,May  9 21:25:51.077408616
76.447229ms,true,-,May  9 21:25:51.077413137
