
Number of requests,Medium response time,Error percentage,Throughput
11.106017ms,true,-,May  8 14:16:45.543508615
11.177329ms,true,-,May  8 14:16:45.543549767
10.780074ms,true,-,May  8 14:16:45.543598396
11.038194ms,true,-,May  8 14:16:45.543644835
65.533839ms,true,-,May  8 14:16:45.543699587
63.766733ms,true,-,May  8 14:16:45.543703311
73.604912ms,true,-,May  8 14:16:45.543733308
11.119749ms,true,-,May  8 14:16:45.543848721
11.307969ms,true,-,May  8 14:16:45.543857084
11.172168ms,true,-,May  8 14:16:45.543886431
76.234436ms,true,-,May  8 14:16:45.545587226
65.727279ms,true,-,May  8 14:16:45.545589311
76.515094ms,true,-,May  8 14:16:45.545670654
13.038814ms,true,-,May  8 14:16:45.545732502
68.093457ms,true,-,May  8 14:16:45.545738430
13.505005ms,true,-,May  8 14:16:45.545768941
13.808906ms,true,-,May  8 14:16:45.545795565
13.522142ms,true,-,May  8 14:16:45.545852965
75.650399ms,true,-,May  8 14:16:45.545901171
13.134427ms,true,-,May  8 14:16:45.545907904
10.359614ms,true,-,May  8 14:16:45.545924752
68.506851ms,true,-,May  8 14:16:45.545937127
67.65759ms,true,-,May  8 14:16:45.545992978
10.527711ms,true,-,May  8 14:16:45.546019507
10.622882ms,true,-,May  8 14:16:45.546071055
14.051872ms,true,-,May  8 14:16:45.546080130
13.313606ms,true,-,May  8 14:16:45.546097519
13.708609ms,true,-,May  8 14:16:45.546169182
13.559891ms,true,-,May  8 14:16:45.546207337
75.938232ms,true,-,May  8 14:16:45.546226188
13.633185ms,true,-,May  8 14:16:45.546252793
6.173043ms,true,-,May  8 14:16:45.546455356
6.275772ms,true,-,May  8 14:16:45.546472369
13.967743ms,true,-,May  8 14:16:45.546478593
6.02695ms,true,-,May  8 14:16:45.546585292
14.895943ms,true,-,May  8 14:16:45.546621465
11.118951ms,true,-,May  8 14:16:45.546643816
5.82762ms,true,-,May  8 14:16:45.546753639
6.541893ms,true,-,May  8 14:16:45.546786788
69.310911ms,true,-,May  8 14:16:45.546790408
6.345441ms,true,-,May  8 14:16:45.546821618
6.275621ms,true,-,May  8 14:16:45.546835729
6.35347ms,true,-,May  8 14:16:45.546850834
6.688203ms,true,-,May  8 14:16:45.546998628
5.574513ms,true,-,May  8 14:16:45.547109627
6.746865ms,true,-,May  8 14:16:45.547126793
6.158552ms,true,-,May  8 14:16:45.547164333
6.840791ms,true,-,May  8 14:16:45.547300148
69.871058ms,true,-,May  8 14:16:45.547326260
6.20552ms,true,-,May  8 14:16:45.547377154
6.664679ms,true,-,May  8 14:16:45.547480568
5.879269ms,true,-,May  8 14:16:45.547556245
7.186114ms,true,-,May  8 14:16:45.547608467
3.962435ms,true,-,May  8 14:16:45.547610004
7.086332ms,true,-,May  8 14:16:45.547621427
6.270107ms,true,-,May  8 14:16:45.547622878
7.280818ms,true,-,May  8 14:16:45.547659913
6.984444ms,true,-,May  8 14:16:45.548578408
7.235346ms,true,-,May  8 14:16:45.548590975
7.865352ms,true,-,May  8 14:16:45.548666939
7.119953ms,true,-,May  8 14:16:45.548701039
8.14549ms,true,-,May  8 14:16:45.548756550
5.826077ms,true,-,May  8 14:16:45.548775258
5.378918ms,true,-,May  8 14:16:45.548786551
8.368594ms,true,-,May  8 14:16:45.548850920
7.28494ms,true,-,May  8 14:16:45.548877358
4.992769ms,true,-,May  8 14:16:45.548885881
92.141764ms,true,-,May  8 14:16:45.633751100
87.669292ms,true,-,May  8 14:16:45.633755906
92.32438ms,true,-,May  8 14:16:45.633868143
98.520337ms,true,-,May  8 14:16:45.639718478
94.0036ms,true,-,May  8 14:16:45.639832948
99.26738ms,true,-,May  8 14:16:45.639891090
99.720245ms,true,-,May  8 14:16:45.640054189
94.530493ms,true,-,May  8 14:16:45.640207042
99.810979ms,true,-,May  8 14:16:45.640410957
94.827136ms,true,-,May  8 14:16:45.640462091
97.544188ms,true,-,May  8 14:16:45.640559408
99.456159ms,true,-,May  8 14:16:45.640681177
97.343719ms,true,-,May  8 14:16:45.640748843
100.420474ms,true,-,May  8 14:16:45.640778982
99.751307ms,true,-,May  8 14:16:45.640827658
97.251206ms,true,-,May  8 14:16:45.640852587
97.374132ms,true,-,May  8 14:16:45.640926261
100.590783ms,true,-,May  8 14:16:45.641012389
97.548796ms,true,-,May  8 14:16:45.641061743
94.321552ms,true,-,May  8 14:16:45.641119891
98.003764ms,true,-,May  8 14:16:45.641295154
99.590844ms,true,-,May  8 14:16:45.641311654
100.807024ms,true,-,May  8 14:16:45.641339616
95.252945ms,true,-,May  8 14:16:45.641353198
95.340866ms,true,-,May  8 14:16:45.641362995
95.86143ms,true,-,May  8 14:16:45.641454789
97.798215ms,true,-,May  8 14:16:45.641501248
100.933386ms,true,-,May  8 14:16:45.641505619
95.748204ms,true,-,May  8 14:16:45.641523064
94.419459ms,true,-,May  8 14:16:45.641532586
100.981568ms,true,-,May  8 14:16:45.641569939
99.954122ms,true,-,May  8 14:16:45.641654710
7.606188ms,true,-,May  8 14:16:45.641661214
95.774303ms,true,-,May  8 14:16:45.641680414
98.390314ms,true,-,May  8 14:16:45.641754523
98.618772ms,true,-,May  8 14:16:45.642479984
95.689677ms,true,-,May  8 14:16:45.642693663
101.566899ms,true,-,May  8 14:16:45.642697981
95.644909ms,true,-,May  8 14:16:45.642775986
99.253614ms,true,-,May  8 14:16:45.642959405
96.360237ms,true,-,May  8 14:16:45.643007185
102.17237ms,true,-,May  8 14:16:45.643044994
97.247597ms,true,-,May  8 14:16:45.643047501
100.102039ms,true,-,May  8 14:16:45.643299712
96.518594ms,true,-,May  8 14:16:45.643357688
101.874758ms,true,-,May  8 14:16:45.643453973
97.530676ms,true,-,May  8 14:16:45.643458573
3.445404ms,true,-,May  8 14:16:45.643510128
102.060343ms,true,-,May  8 14:16:45.643603853
3.746503ms,true,-,May  8 14:16:45.643617177
96.774926ms,true,-,May  8 14:16:45.643630242
97.010191ms,true,-,May  8 14:16:45.643634513
96.380417ms,true,-,May  8 14:16:45.643710768
100.243505ms,true,-,May  8 14:16:45.643718605
9.808865ms,true,-,May  8 14:16:45.643751306
103.175787ms,true,-,May  8 14:16:45.643763646
103.190199ms,true,-,May  8 14:16:45.643798770
97.871151ms,true,-,May  8 14:16:45.643867529
100.090024ms,true,-,May  8 14:16:45.643942781
96.562942ms,true,-,May  8 14:16:45.643945944
96.384348ms,true,-,May  8 14:16:45.643969629
96.643031ms,true,-,May  8 14:16:45.643974927
4.084479ms,true,-,May  8 14:16:45.643987684
100.934382ms,true,-,May  8 14:16:45.644016641
96.853727ms,true,-,May  8 14:16:45.644021486
10.13967ms,true,-,May  8 14:16:45.644108845
103.653553ms,true,-,May  8 14:16:45.644161372
101.021596ms,true,-,May  8 14:16:45.644176060
3.975992ms,true,-,May  8 14:16:45.644186896
98.49276ms,true,-,May  8 14:16:45.644231043
103.000612ms,true,-,May  8 14:16:45.644273659
2.748485ms,true,-,May  8 14:16:45.644274317
4.613808ms,true,-,May  8 14:16:45.644369959
98.015294ms,true,-,May  8 14:16:45.644475692
3.362393ms,true,-,May  8 14:16:45.644555761
98.336541ms,true,-,May  8 14:16:45.644593494
95.981048ms,true,-,May  8 14:16:45.644683317
95.772472ms,true,-,May  8 14:16:45.644718096
98.980789ms,true,-,May  8 14:16:45.644724146
101.515115ms,true,-,May  8 14:16:45.645256321
96.436526ms,true,-,May  8 14:16:45.645288871
99.154079ms,true,-,May  8 14:16:45.645365748
91.974368ms,true,-,May  8 14:16:45.732805227
184.102432ms,true,-,May  8 14:16:45.732890789
186.199411ms,true,-,May  8 14:16:45.732956927
90.277674ms,true,-,May  8 14:16:45.732977484
92.303313ms,true,-,May  8 14:16:45.733060657
92.410654ms,true,-,May  8 14:16:45.733916152
190.541916ms,true,-,May  8 14:16:45.733957188
91.021909ms,true,-,May  8 14:16:45.733990865
187.898319ms,true,-,May  8 14:16:45.734081757
92.749714ms,true,-,May  8 14:16:45.734263476
191.201558ms,true,-,May  8 14:16:45.734292942
185.713298ms,true,-,May  8 14:16:45.734300832
93.802168ms,true,-,May  8 14:16:45.734367973
94.30783ms,true,-,May  8 14:16:45.735001087
94.384559ms,true,-,May  8 14:16:45.735745308
188.075682ms,true,-,May  8 14:16:45.735759003
94.142522ms,true,-,May  8 14:16:45.735825296
95.321959ms,true,-,May  8 14:16:45.736129182
190.218675ms,true,-,May  8 14:16:45.736133454
189.838491ms,true,-,May  8 14:16:45.736321621
93.349618ms,true,-,May  8 14:16:45.736434076
191.174241ms,true,-,May  8 14:16:45.737114771
190.911014ms,true,-,May  8 14:16:45.737141006
195.915199ms,true,-,May  8 14:16:45.737244053
93.908412ms,true,-,May  8 14:16:45.737270362
190.528659ms,true,-,May  8 14:16:45.737319703
189.877162ms,true,-,May  8 14:16:45.737362137
2.839992ms,true,-,May  8 14:16:45.739165031
98.701655ms,true,-,May  8 14:16:45.739167034
93.99741ms,true,-,May  8 14:16:45.739315901
192.78491ms,true,-,May  8 14:16:45.739374461
193.416888ms,true,-,May  8 14:16:45.739491808
190.806967ms,true,-,May  8 14:16:45.739565759
98.410276ms,true,-,May  8 14:16:45.740019822
193.54309ms,true,-,May  8 14:16:45.740019967
96.951393ms,true,-,May  8 14:16:45.741113986
97.670328ms,true,-,May  8 14:16:45.741128313
3.723901ms,true,-,May  8 14:16:45.741134197
192.213405ms,true,-,May  8 14:16:45.741147438
100.21939ms,true,-,May  8 14:16:45.741536208
99.227036ms,true,-,May  8 14:16:45.741713686
194.357249ms,true,-,May  8 14:16:45.742022380
8.102822ms,true,-,May  8 14:16:45.742067172
98.570992ms,true,-,May  8 14:16:45.742190879
98.612565ms,true,-,May  8 14:16:45.742246911
194.874913ms,true,-,May  8 14:16:45.742526702
6.515211ms,true,-,May  8 14:16:45.742649126
9.654337ms,true,-,May  8 14:16:45.742720534
98.66006ms,true,-,May  8 14:16:45.742851250
98.286852ms,true,-,May  8 14:16:45.743014339
196.373526ms,true,-,May  8 14:16:45.743199180
10.387401ms,true,-,May  8 14:16:45.743332800
99.914991ms,true,-,May  8 14:16:45.743551132
99.099701ms,true,-,May  8 14:16:45.743658811
10.69334ms,true,-,May  8 14:16:45.743749804
100.204199ms,true,-,May  8 14:16:45.743810313
98.573575ms,true,-,May  8 14:16:45.743943510
4.792848ms,true,-,May  8 14:16:45.743964995
100.023781ms,true,-,May  8 14:16:45.744000643
100.059608ms,true,-,May  8 14:16:45.744009165
100.245892ms,true,-,May  8 14:16:45.744012008
100.276162ms,true,-,May  8 14:16:45.744013040
100.028208ms,true,-,May  8 14:16:45.744016462
99.789731ms,true,-,May  8 14:16:45.744162541
100.368896ms,true,-,May  8 14:16:45.744171244
8.407605ms,true,-,May  8 14:16:45.744244151
7.843207ms,true,-,May  8 14:16:45.744321703
102.572768ms,true,-,May  8 14:16:45.744330203
3.201157ms,true,-,May  8 14:16:45.744335742
9.323254ms,true,-,May  8 14:16:45.744358108
10.033465ms,true,-,May  8 14:16:45.744362580
99.693957ms,true,-,May  8 14:16:45.744383063
98.486831ms,true,-,May  8 14:16:45.832575273
188.856567ms,true,-,May  8 14:16:45.832726586
93.274471ms,true,-,May  8 14:16:45.832769960
97.066628ms,true,-,May  8 14:16:45.832817042
90.19262ms,true,-,May  8 14:16:45.832845851
188.387712ms,true,-,May  8 14:16:45.832882166
188.617036ms,true,-,May  8 14:16:45.832908836
91.417398ms,true,-,May  8 14:16:45.834436603
91.769643ms,true,-,May  8 14:16:45.834525643
91.375534ms,true,-,May  8 14:16:45.834608859
91.143125ms,true,-,May  8 14:16:45.834814906
91.789874ms,true,-,May  8 14:16:45.835956435
93.380899ms,true,-,May  8 14:16:45.836236540
92.334475ms,true,-,May  8 14:16:45.836282759
92.87514ms,true,-,May  8 14:16:45.836647470
93.219664ms,true,-,May  8 14:16:45.836799475
94.300299ms,true,-,May  8 14:16:45.836830689
92.708502ms,true,-,May  8 14:16:45.836887987
93.086012ms,true,-,May  8 14:16:45.836902258
289.525783ms,true,-,May  8 14:16:45.837181287
196.059238ms,true,-,May  8 14:16:45.837635144
193.770639ms,true,-,May  8 14:16:45.837796453
193.835781ms,true,-,May  8 14:16:45.837816778
195.115606ms,true,-,May  8 14:16:45.837896062
194.637017ms,true,-,May  8 14:16:45.837947830
196.917712ms,true,-,May  8 14:16:45.837986045
196.336931ms,true,-,May  8 14:16:45.837995091
196.977161ms,true,-,May  8 14:16:45.837995416
94.066634ms,true,-,May  8 14:16:45.838070686
193.927047ms,true,-,May  8 14:16:45.838106723
100.866692ms,true,-,May  8 14:16:45.838117046
194.675795ms,true,-,May  8 14:16:45.838139245
196.864909ms,true,-,May  8 14:16:45.838175062
5.537925ms,true,-,May  8 14:16:45.838197177
194.731745ms,true,-,May  8 14:16:45.838245446
194.134227ms,true,-,May  8 14:16:45.838245944
94.250175ms,true,-,May  8 14:16:45.838266996
97.171941ms,true,-,May  8 14:16:45.838290280
196.672739ms,true,-,May  8 14:16:45.838336888
194.321744ms,true,-,May  8 14:16:45.838344203
96.195024ms,true,-,May  8 14:16:45.838388410
3.948239ms,true,-,May  8 14:16:45.838390192
193.666527ms,true,-,May  8 14:16:45.838390909
193.149387ms,true,-,May  8 14:16:45.838440028
104.526761ms,true,-,May  8 14:16:45.838449833
5.625973ms,true,-,May  8 14:16:45.838478305
195.761997ms,true,-,May  8 14:16:45.838490382
94.574894ms,true,-,May  8 14:16:45.838543893
94.295605ms,true,-,May  8 14:16:45.838545595
197.110766ms,true,-,May  8 14:16:45.838577079
198.109005ms,true,-,May  8 14:16:45.838586333
96.876266ms,true,-,May  8 14:16:45.838593621
97.440801ms,true,-,May  8 14:16:45.838595176
194.618483ms,true,-,May  8 14:16:45.838609396
105.667118ms,true,-,May  8 14:16:45.838634587
101.562479ms,true,-,May  8 14:16:45.838709154
290.322769ms,true,-,May  8 14:16:45.838917961
195.302902ms,true,-,May  8 14:16:45.839276631
2.520443ms,true,-,May  8 14:16:45.839325195
106.365419ms,true,-,May  8 14:16:45.839350308
198.075641ms,true,-,May  8 14:16:45.839445565
105.421626ms,true,-,May  8 14:16:45.839450379
99.462043ms,true,-,May  8 14:16:45.839491630
195.277057ms,true,-,May  8 14:16:45.839553474
99.565265ms,true,-,May  8 14:16:45.839591719
100.252859ms,true,-,May  8 14:16:45.839631608
102.493886ms,true,-,May  8 14:16:45.839636728
292.016979ms,true,-,May  8 14:16:45.839657943
6.95524ms,true,-,May  8 14:16:45.839872097
195.929729ms,true,-,May  8 14:16:45.839878295
102.623335ms,true,-,May  8 14:16:45.839904755
5.287035ms,true,-,May  8 14:16:45.839917401
97.953403ms,true,-,May  8 14:16:45.840203882
198.805996ms,true,-,May  8 14:16:45.840353654
106.155076ms,true,-,May  8 14:16:45.840524502
196.91385ms,true,-,May  8 14:16:45.840668470
101.256461ms,true,-,May  8 14:16:45.840826593
96.529867ms,true,-,May  8 14:16:45.840900079
196.799497ms,true,-,May  8 14:16:45.841034039
99.540151ms,true,-,May  8 14:16:45.841082699
3.144289ms,true,-,May  8 14:16:45.841257998
3.32689ms,true,-,May  8 14:16:45.841401247
99.375884ms,true,-,May  8 14:16:45.841402460
8.776435ms,true,-,May  8 14:16:45.841671427
3.478097ms,true,-,May  8 14:16:45.841818255
3.481428ms,true,-,May  8 14:16:45.841977048
4.218451ms,true,-,May  8 14:16:45.842360806
98.357388ms,true,-,May  8 14:16:45.842378255
98.046392ms,true,-,May  8 14:16:45.842385242
98.070067ms,true,-,May  8 14:16:45.842409363
301.834386ms,true,-,May  8 14:16:45.842467027
3.578908ms,true,-,May  8 14:16:45.842528697
201.256968ms,true,-,May  8 14:16:45.842600911
10.97525ms,true,-,May  8 14:16:45.843707451
7.905932ms,true,-,May  8 14:16:45.843920997
5.999224ms,true,-,May  8 14:16:45.843999597
109.810128ms,true,-,May  8 14:16:45.844182824
11.571488ms,true,-,May  8 14:16:45.846102165
8.317178ms,true,-,May  8 14:16:45.846119822
7.899244ms,true,-,May  8 14:16:45.846148591
7.804576ms,true,-,May  8 14:16:45.846195945
101.832097ms,true,-,May  8 14:16:45.846201321
9.809895ms,true,-,May  8 14:16:45.846277786
8.08509ms,true,-,May  8 14:16:45.846303631
205.451679ms,true,-,May  8 14:16:45.846315524
102.336291ms,true,-,May  8 14:16:45.846353837
8.025165ms,true,-,May  8 14:16:45.846375770
8.4346ms,true,-,May  8 14:16:45.846387575
8.32396ms,true,-,May  8 14:16:45.846446355
8.427524ms,true,-,May  8 14:16:45.846455187
104.418706ms,true,-,May  8 14:16:45.846491151
110.879073ms,true,-,May  8 14:16:45.846648967
10.020601ms,true,-,May  8 14:16:45.846675184
13.858259ms,true,-,May  8 14:16:45.846681863
8.331006ms,true,-,May  8 14:16:45.846725705
10.445518ms,true,-,May  8 14:16:45.847353002
107.802579ms,true,-,May  8 14:16:45.847372475
103.025383ms,true,-,May  8 14:16:45.847412011
9.590616ms,true,-,May  8 14:16:45.847414859
10.764609ms,true,-,May  8 14:16:45.847659595
9.512123ms,true,-,May  8 14:16:45.847689660
14.929264ms,true,-,May  8 14:16:45.847705489
9.285452ms,true,-,May  8 14:16:45.847728603
9.601191ms,true,-,May  8 14:16:45.848015072
204.381746ms,true,-,May  8 14:16:45.848094117
7.083128ms,true,-,May  8 14:16:45.848169712
10.190907ms,true,-,May  8 14:16:45.848183544
299.572413ms,true,-,May  8 14:16:45.848244681
107.181686ms,true,-,May  8 14:16:45.848321676
199.320568ms,true,-,May  8 14:16:45.933643893
93.797021ms,true,-,May  8 14:16:45.933704999
189.82142ms,true,-,May  8 14:16:45.933860098
92.853483ms,true,-,May  8 14:16:45.933890719
96.002838ms,true,-,May  8 14:16:45.934592351
200.195633ms,true,-,May  8 14:16:45.936334554
98.802916ms,true,-,May  8 14:16:45.936520805
96.91825ms,true,-,May  8 14:16:45.936579234
94.760992ms,true,-,May  8 14:16:45.936581839
94.599085ms,true,-,May  8 14:16:45.936579378
293.074611ms,true,-,May  8 14:16:45.937681567
98.354541ms,true,-,May  8 14:16:45.937709237
97.847664ms,true,-,May  8 14:16:45.937770339
99.766902ms,true,-,May  8 14:16:45.938248436
100.929489ms,true,-,May  8 14:16:45.938699742
99.157247ms,true,-,May  8 14:16:45.938760210
99.63062ms,true,-,May  8 14:16:45.939531492
98.779379ms,true,-,May  8 14:16:45.939608340
92.945174ms,true,-,May  8 14:16:45.939623974
101.734859ms,true,-,May  8 14:16:45.939638808
98.909218ms,true,-,May  8 14:16:45.939814182
103.41017ms,true,-,May  8 14:16:45.940245275
392.285268ms,true,-,May  8 14:16:45.941062047
93.936053ms,true,-,May  8 14:16:45.941329947
102.320091ms,true,-,May  8 14:16:45.941774051
103.840805ms,true,-,May  8 14:16:45.942515816
104.111762ms,true,-,May  8 14:16:45.942565070
10.364693ms,true,-,May  8 14:16:45.944181675
9.646716ms,true,-,May  8 14:16:45.944246467
101.954777ms,true,-,May  8 14:16:45.944345239
103.849829ms,true,-,May  8 14:16:45.944377215
101.903756ms,true,-,May  8 14:16:45.944378165
97.005238ms,true,-,May  8 14:16:45.945038874
11.051954ms,true,-,May  8 14:16:45.945078292
97.659253ms,true,-,May  8 14:16:45.945327254
7.654434ms,true,-,May  8 14:16:45.945404192
97.241715ms,true,-,May  8 14:16:45.945421221
106.165991ms,true,-,May  8 14:16:45.945447106
2.881602ms,true,-,May  8 14:16:45.945513260
105.932881ms,true,-,May  8 14:16:45.945569206
99.349317ms,true,-,May  8 14:16:45.945844753
7.673058ms,true,-,May  8 14:16:45.945974479
104.745352ms,true,-,May  8 14:16:45.946149065
7.77401ms,true,-,May  8 14:16:45.946516707
100.280554ms,true,-,May  8 14:16:45.946564945
10.038929ms,true,-,May  8 14:16:45.946572035
7.370471ms,true,-,May  8 14:16:45.947014333
13.041484ms,true,-,May  8 14:16:45.947073065
103.145244ms,true,-,May  8 14:16:45.947084320
107.793104ms,true,-,May  8 14:16:45.947244410
101.077194ms,true,-,May  8 14:16:45.947383672
288.575782ms,true,-,May  8 14:16:46.031915421
190.315503ms,true,-,May  8 14:16:46.031990614
95.557436ms,true,-,May  8 14:16:46.033336786
187.003277ms,true,-,May  8 14:16:46.033395226
194.74111ms,true,-,May  8 14:16:46.033454570
196.76919ms,true,-,May  8 14:16:46.033542489
94.82522ms,true,-,May  8 14:16:46.033592180
191.251917ms,true,-,May  8 14:16:46.033666331
87.145622ms,true,-,May  8 14:16:46.033717534
189.625539ms,true,-,May  8 14:16:46.033818688
88.392721ms,true,-,May  8 14:16:46.033852720
187.577862ms,true,-,May  8 14:16:46.033897325
88.538203ms,true,-,May  8 14:16:46.033968882
195.405734ms,true,-,May  8 14:16:46.033985971
100.126639ms,true,-,May  8 14:16:46.034034012
187.865829ms,true,-,May  8 14:16:46.034073793
191.583354ms,true,-,May  8 14:16:46.034190580
188.004578ms,true,-,May  8 14:16:46.034206355
190.455058ms,true,-,May  8 14:16:46.034239223
91.691787ms,true,-,May  8 14:16:46.034264183
193.277045ms,true,-,May  8 14:16:46.034538068
94.336484ms,true,-,May  8 14:16:46.034589360
90.379863ms,true,-,May  8 14:16:46.034763226
188.628935ms,true,-,May  8 14:16:46.034783045
188.615388ms,true,-,May  8 14:16:46.034993397
192.667332ms,true,-,May  8 14:16:46.035033962
95.530683ms,true,-,May  8 14:16:46.035070851
194.751972ms,true,-,May  8 14:16:46.035107490
187.036672ms,true,-,May  8 14:16:46.035386911
2.63913ms,true,-,May  8 14:16:46.036539732
2.07718ms,true,-,May  8 14:16:46.036621108
198.111283ms,true,-,May  8 14:16:46.036724623
93.039845ms,true,-,May  8 14:16:46.037228509
188.978922ms,true,-,May  8 14:16:46.037232637
198.741685ms,true,-,May  8 14:16:46.037341498
90.305729ms,true,-,May  8 14:16:46.037387048
293.065451ms,true,-,May  8 14:16:46.037392422
90.497266ms,true,-,May  8 14:16:46.037527993
101.547694ms,true,-,May  8 14:16:46.038147838
98.526225ms,true,-,May  8 14:16:46.038157730
93.208577ms,true,-,May  8 14:16:46.038253431
98.700909ms,true,-,May  8 14:16:46.038318053
