
Number of requests,Medium response time,Error percentage,Throughput
66000,617.051307ms,0,849.7804436070347
Type,Requests per second,Duration,
grpc,10000,3s,
grpc,12000,3s,
Response time,Success,Error,End time
3.584994ms,true,-,May  8 14:16:45.472534628
7.917745ms,true,-,May  8 14:16:45.477422225
8.19142ms,true,-,May  8 14:16:45.477430712
7.921394ms,true,-,May  8 14:16:45.477430676
8.204139ms,true,-,May  8 14:16:45.477448018
8.570356ms,true,-,May  8 14:16:45.477549731
8.079324ms,true,-,May  8 14:16:45.477591146
8.440742ms,true,-,May  8 14:16:45.477614287
8.554049ms,true,-,May  8 14:16:45.477632070
8.517791ms,true,-,May  8 14:16:45.477634013
7.322201ms,true,-,May  8 14:16:45.477639098
7.849013ms,true,-,May  8 14:16:45.478161279
7.930163ms,true,-,May  8 14:16:45.478304277
9.437042ms,true,-,May  8 14:16:45.478335545
8.830498ms,true,-,May  8 14:16:45.478353572
9.48263ms,true,-,May  8 14:16:45.479730813
10.225184ms,true,-,May  8 14:16:45.479800055
9.774109ms,true,-,May  8 14:16:45.479929686
61.3544ms,true,-,May  8 14:16:45.531627679
61.335984ms,true,-,May  8 14:16:45.531721622
62.595402ms,true,-,May  8 14:16:45.531811038
62.47502ms,true,-,May  8 14:16:45.531979130
62.582223ms,true,-,May  8 14:16:45.532019470
62.602137ms,true,-,May  8 14:16:45.532056942
61.819626ms,true,-,May  8 14:16:45.532137343
61.824162ms,true,-,May  8 14:16:45.532257720
62.677867ms,true,-,May  8 14:16:45.532259194
62.094255ms,true,-,May  8 14:16:45.532321272
62.935546ms,true,-,May  8 14:16:45.532366883
63.267808ms,true,-,May  8 14:16:45.532397586
62.046329ms,true,-,May  8 14:16:45.532438882
62.039211ms,true,-,May  8 14:16:45.532455739
62.416842ms,true,-,May  8 14:16:45.532506206
63.138907ms,true,-,May  8 14:16:45.532539858
63.14252ms,true,-,May  8 14:16:45.532599986
63.064497ms,true,-,May  8 14:16:45.532600743
63.210136ms,true,-,May  8 14:16:45.532614779
63.227531ms,true,-,May  8 14:16:45.532688411
63.389984ms,true,-,May  8 14:16:45.532710916
62.278981ms,true,-,May  8 14:16:45.532722393
62.339516ms,true,-,May  8 14:16:45.532768455
63.455345ms,true,-,May  8 14:16:45.532780029
63.38819ms,true,-,May  8 14:16:45.532813474
63.367836ms,true,-,May  8 14:16:45.532880858
64.994137ms,true,-,May  8 14:16:45.535442953
65.087084ms,true,-,May  8 14:16:45.535485793
57.179094ms,true,-,May  8 14:16:45.535518512
65.176884ms,true,-,May  8 14:16:45.535559646
66.973728ms,true,-,May  8 14:16:45.536159998
67.301581ms,true,-,May  8 14:16:45.537582898
68.690119ms,true,-,May  8 14:16:45.538136009
69.087329ms,true,-,May  8 14:16:45.538324131
69.373477ms,true,-,May  8 14:16:45.538607537
68.494715ms,true,-,May  8 14:16:45.538617767
68.698395ms,true,-,May  8 14:16:45.538755797
61.146098ms,true,-,May  8 14:16:45.538798885
68.579796ms,true,-,May  8 14:16:45.538814124
69.393074ms,true,-,May  8 14:16:45.538819289
61.218536ms,true,-,May  8 14:16:45.538862780
69.647369ms,true,-,May  8 14:16:45.538915194
69.702779ms,true,-,May  8 14:16:45.538969666
68.572424ms,true,-,May  8 14:16:45.538988609
68.822239ms,true,-,May  8 14:16:45.539000252
68.857472ms,true,-,May  8 14:16:45.539070044
69.743126ms,true,-,May  8 14:16:45.539096475
68.836404ms,true,-,May  8 14:16:45.539135886
68.794139ms,true,-,May  8 14:16:45.539149309
69.613172ms,true,-,May  8 14:16:45.539155911
69.598689ms,true,-,May  8 14:16:45.539166570
68.913894ms,true,-,May  8 14:16:45.539195454
60.868008ms,true,-,May  8 14:16:45.539224123
61.643094ms,true,-,May  8 14:16:45.539244931
68.969641ms,true,-,May  8 14:16:45.539304914
71.252322ms,true,-,May  8 14:16:45.540372755
70.833144ms,true,-,May  8 14:16:45.540417575
71.228587ms,true,-,May  8 14:16:45.540797585
70.634507ms,true,-,May  8 14:16:45.540810512
63.310927ms,true,-,May  8 14:16:45.540863511
70.476347ms,true,-,May  8 14:16:45.540921109
71.394266ms,true,-,May  8 14:16:45.540996668
71.522249ms,true,-,May  8 14:16:45.541069817
70.699543ms,true,-,May  8 14:16:45.541071958
71.72543ms,true,-,May  8 14:16:45.541126333
63.551348ms,true,-,May  8 14:16:45.541168142
70.801097ms,true,-,May  8 14:16:45.541194465
71.805956ms,true,-,May  8 14:16:45.541269903
71.646371ms,true,-,May  8 14:16:45.541303587
61.613137ms,true,-,May  8 14:16:45.541349869
70.919647ms,true,-,May  8 14:16:45.541352404
71.91267ms,true,-,May  8 14:16:45.541526969
71.274924ms,true,-,May  8 14:16:45.541529224
71.122822ms,true,-,May  8 14:16:45.541535538
71.173113ms,true,-,May  8 14:16:45.541539415
9.941724ms,true,-,May  8 14:16:45.541576967
72.321486ms,true,-,May  8 14:16:45.541587831
72.231807ms,true,-,May  8 14:16:45.541590223
9.793401ms,true,-,May  8 14:16:45.541605557
69.008345ms,true,-,May  8 14:16:45.541672928
72.492027ms,true,-,May  8 14:16:45.541697048
72.570657ms,true,-,May  8 14:16:45.541717475
72.507201ms,true,-,May  8 14:16:45.542930171
72.788094ms,true,-,May  8 14:16:45.543006451
65.636902ms,true,-,May  8 14:16:45.543075618
10.197237ms,true,-,May  8 14:16:45.543082898
10.879044ms,true,-,May  8 14:16:45.543144916
72.752972ms,true,-,May  8 14:16:45.543150036
10.746298ms,true,-,May  8 14:16:45.543192446
11.223195ms,true,-,May  8 14:16:45.543286169
72.996635ms,true,-,May  8 14:16:45.543359525
11.255072ms,true,-,May  8 14:16:45.543400998
74.000006ms,true,-,May  8 14:16:45.543410142
74.149355ms,true,-,May  8 14:16:45.543471375
