
Number of requests,Medium response time,Error percentage,Throughput,Duration
66000,90.10314ms,0,3990.30045624778,16.540107875
Type,Requests per second,Duration,,
rest,10000,3s,
rest,12000,3s,
Response time,Success,Error,End time,
1.52707ms,true,-,May  9 21:51:05.204076128
1.503699ms,true,-,May  9 21:51:05.204124695
1.719386ms,true,-,May  9 21:51:05.204295498
1.817145ms,true,-,May  9 21:51:05.204302319
2.003196ms,true,-,May  9 21:51:05.204601800
1.59334ms,true,-,May  9 21:51:05.204829839
2.450392ms,true,-,May  9 21:51:05.204833202
2.337329ms,true,-,May  9 21:51:05.204898035
1.551262ms,true,-,May  9 21:51:05.205606270
3.944845ms,true,-,May  9 21:51:05.206350366
3.968152ms,true,-,May  9 21:51:05.206921294
4.700031ms,true,-,May  9 21:51:05.207214050
4.141706ms,true,-,May  9 21:51:05.207787045
5.358903ms,true,-,May  9 21:51:05.207874570
38.115748ms,true,-,May  9 21:51:05.241229034
38.845537ms,true,-,May  9 21:51:05.241233078
38.758506ms,true,-,May  9 21:51:05.241277642
38.731065ms,true,-,May  9 21:51:05.241306299
38.630853ms,true,-,May  9 21:51:05.241313428
39.143188ms,true,-,May  9 21:51:05.241538290
37.343038ms,true,-,May  9 21:51:05.241555273
37.356024ms,true,-,May  9 21:51:05.241566479
39.177752ms,true,-,May  9 21:51:05.241571217
39.177937ms,true,-,May  9 21:51:05.241586657
39.062353ms,true,-,May  9 21:51:05.241595057
39.268376ms,true,-,May  9 21:51:05.241632512
37.521091ms,true,-,May  9 21:51:05.241676089
39.117696ms,true,-,May  9 21:51:05.242195537
39.667831ms,true,-,May  9 21:51:05.242195573
38.507016ms,true,-,May  9 21:51:05.242196853
39.026906ms,true,-,May  9 21:51:05.242225256
39.302048ms,true,-,May  9 21:51:05.242240329
38.088482ms,true,-,May  9 21:51:05.242251586
39.133379ms,true,-,May  9 21:51:05.242255225
39.292856ms,true,-,May  9 21:51:05.242262267
39.221044ms,true,-,May  9 21:51:05.242433668
39.910804ms,true,-,May  9 21:51:05.242448699
39.991768ms,true,-,May  9 21:51:05.242465097
38.961111ms,true,-,May  9 21:51:05.242575663
38.5364ms,true,-,May  9 21:51:05.242636325
40.085666ms,true,-,May  9 21:51:05.242650749
40.383598ms,true,-,May  9 21:51:05.242755487
39.344358ms,true,-,May  9 21:51:05.242914425
39.796431ms,true,-,May  9 21:51:05.242955196
39.791705ms,true,-,May  9 21:51:05.242968711
39.288595ms,true,-,May  9 21:51:05.243304218
40.946583ms,true,-,May  9 21:51:05.243423706
41.169964ms,true,-,May  9 21:51:05.243615442
39.49864ms,true,-,May  9 21:51:05.243643929
39.586273ms,true,-,May  9 21:51:05.243654774
41.368277ms,true,-,May  9 21:51:05.243741140
41.482566ms,true,-,May  9 21:51:05.243864316
40.609702ms,true,-,May  9 21:51:05.243921072
39.821333ms,true,-,May  9 21:51:05.243994745
39.866563ms,true,-,May  9 21:51:05.244083507
40.239105ms,true,-,May  9 21:51:05.244232438
40.717992ms,true,-,May  9 21:51:05.244388814
41.911627ms,true,-,May  9 21:51:05.244456730
40.566731ms,true,-,May  9 21:51:05.244556806
42.570788ms,true,-,May  9 21:51:05.245728002
43.546084ms,true,-,May  9 21:51:05.246106426
46.480815ms,true,-,May  9 21:51:05.249645615
47.311023ms,true,-,May  9 21:51:05.249808048
47.339706ms,true,-,May  9 21:51:05.249844642
46.730329ms,true,-,May  9 21:51:05.249868977
46.866627ms,true,-,May  9 21:51:05.249991627
46.826076ms,true,-,May  9 21:51:05.250014705
46.411887ms,true,-,May  9 21:51:05.250021873
46.692553ms,true,-,May  9 21:51:05.250139623
46.668857ms,true,-,May  9 21:51:05.250143632
46.519809ms,true,-,May  9 21:51:05.250155710
47.866505ms,true,-,May  9 21:51:05.250203896
47.967799ms,true,-,May  9 21:51:05.250227166
47.141364ms,true,-,May  9 21:51:05.250283310
46.955534ms,true,-,May  9 21:51:05.250316259
9.154157ms,true,-,May  9 21:51:05.250432019
46.792564ms,true,-,May  9 21:51:05.250440250
45.747135ms,true,-,May  9 21:51:05.252111455
49.477436ms,true,-,May  9 21:51:05.252190683
48.135791ms,true,-,May  9 21:51:05.252433254
48.161595ms,true,-,May  9 21:51:05.252466459
50.167463ms,true,-,May  9 21:51:05.252513908
50.19273ms,true,-,May  9 21:51:05.252559516
48.992718ms,true,-,May  9 21:51:05.252566278
11.246128ms,true,-,May  9 21:51:05.252579083
44.697571ms,true,-,May  9 21:51:05.252589992
49.139689ms,true,-,May  9 21:51:05.252598504
48.980506ms,true,-,May  9 21:51:05.252603403
48.555366ms,true,-,May  9 21:51:05.252687754
9.087932ms,true,-,May  9 21:51:05.252712100
44.913604ms,true,-,May  9 21:51:05.252713769
45.501445ms,true,-,May  9 21:51:05.252725858
48.585588ms,true,-,May  9 21:51:05.252729667
49.373306ms,true,-,May  9 21:51:05.252763525
47.939893ms,true,-,May  9 21:51:05.252771549
48.695019ms,true,-,May  9 21:51:05.252777317
49.370867ms,true,-,May  9 21:51:05.252788360
46.927095ms,true,-,May  9 21:51:05.252810304
48.27613ms,true,-,May  9 21:51:05.252880092
50.162268ms,true,-,May  9 21:51:05.253153492
50.093915ms,true,-,May  9 21:51:05.253295136
46.378486ms,true,-,May  9 21:51:05.253312390
49.838064ms,true,-,May  9 21:51:05.253326107
49.350353ms,true,-,May  9 21:51:05.253428265
50.265348ms,true,-,May  9 21:51:05.253458610
50.178219ms,true,-,May  9 21:51:05.253556947
11.932173ms,true,-,May  9 21:51:05.253657725
50.217217ms,true,-,May  9 21:51:05.253813459
51.348931ms,true,-,May  9 21:51:05.253872045
10.715621ms,true,-,May  9 21:51:05.253903764
50.759494ms,true,-,May  9 21:51:05.253907072
50.761462ms,true,-,May  9 21:51:05.253946088
51.499948ms,true,-,May  9 21:51:05.253973925
49.106565ms,true,-,May  9 21:51:05.254005700
51.656032ms,true,-,May  9 21:51:05.254033873
50.784884ms,true,-,May  9 21:51:05.254270825
49.442147ms,true,-,May  9 21:51:05.254277397
11.016936ms,true,-,May  9 21:51:05.254340973
51.706337ms,true,-,May  9 21:51:05.254347176
11.726961ms,true,-,May  9 21:51:05.255878336
12.144201ms,true,-,May  9 21:51:05.255894390
11.621175ms,true,-,May  9 21:51:05.255897467
11.842ms,true,-,May  9 21:51:05.255894375
10.258398ms,true,-,May  9 21:51:05.255999203
10.86737ms,true,-,May  9 21:51:05.256010324
53.789228ms,true,-,May  9 21:51:05.256094303
11.430575ms,true,-,May  9 21:51:05.256122833
3.464175ms,true,-,May  9 21:51:05.256155816
11.548592ms,true,-,May  9 21:51:05.256157784
6.168969ms,true,-,May  9 21:51:05.256166474
12.522242ms,true,-,May  9 21:51:05.256178361
11.478687ms,true,-,May  9 21:51:05.256196758
11.324305ms,true,-,May  9 21:51:05.256223870
5.802056ms,true,-,May  9 21:51:05.256237631
