
Number of requests,Medium response time,Error percentage,Throughput
66000,605.485049ms,0,865.2303083962476
Type,Requests per second,Duration,
grpc,10000,3s,
grpc,12000,3s,
Response time,Success,Error,End time
5.47847ms,true,-,May  8 14:18:03.967468883
5.888423ms,true,-,May  8 14:18:03.967752335
5.831893ms,true,-,May  8 14:18:03.967790430
6.127149ms,true,-,May  8 14:18:03.967882955
6.021493ms,true,-,May  8 14:18:03.967897438
5.694913ms,true,-,May  8 14:18:03.968124333
6.338569ms,true,-,May  8 14:18:03.968335786
6.082574ms,true,-,May  8 14:18:03.968351038
8.663709ms,true,-,May  8 14:18:03.970855471
8.909752ms,true,-,May  8 14:18:03.971020572
8.668101ms,true,-,May  8 14:18:03.971152334
9.10799ms,true,-,May  8 14:18:03.971498447
9.067446ms,true,-,May  8 14:18:03.971515943
9.729887ms,true,-,May  8 14:18:03.971973602
10.379628ms,true,-,May  8 14:18:03.972802761
10.951669ms,true,-,May  8 14:18:03.973358422
2.645164ms,true,-,May  8 14:18:03.974654056
12.226923ms,true,-,May  8 14:18:03.974720312
12.258426ms,true,-,May  8 14:18:03.974825266
12.737983ms,true,-,May  8 14:18:03.974891542
3.630289ms,true,-,May  8 14:18:03.975184672
13.008928ms,true,-,May  8 14:18:03.975244505
13.61339ms,true,-,May  8 14:18:03.976066229
13.41479ms,true,-,May  8 14:18:03.976096478
13.708355ms,true,-,May  8 14:18:03.976175532
13.560024ms,true,-,May  8 14:18:03.976176434
70.450118ms,true,-,May  8 14:18:04.033005085
60.195858ms,true,-,May  8 14:18:04.033027143
70.593271ms,true,-,May  8 14:18:04.033064494
70.84491ms,true,-,May  8 14:18:04.033107341
64.858125ms,true,-,May  8 14:18:04.033200190
70.672407ms,true,-,May  8 14:18:04.033205834
70.946618ms,true,-,May  8 14:18:04.033211244
71.12997ms,true,-,May  8 14:18:04.033227541
70.75113ms,true,-,May  8 14:18:04.033237424
71.051983ms,true,-,May  8 14:18:04.033250405
57.146786ms,true,-,May  8 14:18:04.033343001
71.053853ms,true,-,May  8 14:18:04.033404881
72.079078ms,true,-,May  8 14:18:04.034286589
70.844971ms,true,-,May  8 14:18:04.034353105
63.271902ms,true,-,May  8 14:18:04.034438249
72.213828ms,true,-,May  8 14:18:04.034443955
72.488557ms,true,-,May  8 14:18:04.034535338
72.126783ms,true,-,May  8 14:18:04.034538793
73.578401ms,true,-,May  8 14:18:04.035664094
73.364451ms,true,-,May  8 14:18:04.035788012
73.428066ms,true,-,May  8 14:18:04.035872537
73.800642ms,true,-,May  8 14:18:04.035944534
73.538537ms,true,-,May  8 14:18:04.035998216
73.965567ms,true,-,May  8 14:18:04.036026656
73.992632ms,true,-,May  8 14:18:04.036222136
73.83228ms,true,-,May  8 14:18:04.036279552
73.724218ms,true,-,May  8 14:18:04.036294376
73.77444ms,true,-,May  8 14:18:04.036333007
74.024608ms,true,-,May  8 14:18:04.036579694
73.958373ms,true,-,May  8 14:18:04.036600947
66.46796ms,true,-,May  8 14:18:04.037490617
75.084259ms,true,-,May  8 14:18:04.037522085
75.357624ms,true,-,May  8 14:18:04.037567923
75.54373ms,true,-,May  8 14:18:04.037588823
75.321296ms,true,-,May  8 14:18:04.037780945
75.319506ms,true,-,May  8 14:18:04.037783144
75.357622ms,true,-,May  8 14:18:04.037874526
75.399536ms,true,-,May  8 14:18:04.037907094
70.613753ms,true,-,May  8 14:18:04.038969827
76.875621ms,true,-,May  8 14:18:04.039412650
76.824915ms,true,-,May  8 14:18:04.039442642
64.736749ms,true,-,May  8 14:18:04.039565996
68.756528ms,true,-,May  8 14:18:04.039617544
71.868036ms,true,-,May  8 14:18:04.039628885
77.410468ms,true,-,May  8 14:18:04.039779123
63.64362ms,true,-,May  8 14:18:04.039825435
71.961528ms,true,-,May  8 14:18:04.039848422
3.584292ms,true,-,May  8 14:18:04.039955726
68.501639ms,true,-,May  8 14:18:04.040043988
6.246396ms,true,-,May  8 14:18:04.040690896
78.190504ms,true,-,May  8 14:18:04.040740706
78.163081ms,true,-,May  8 14:18:04.040802859
3.368937ms,true,-,May  8 14:18:04.040895743
4.32775ms,true,-,May  8 14:18:04.042149141
80.259003ms,true,-,May  8 14:18:04.042184526
79.671707ms,true,-,May  8 14:18:04.042277687
79.986787ms,true,-,May  8 14:18:04.042288094
9.258595ms,true,-,May  8 14:18:04.042372887
69.05253ms,true,-,May  8 14:18:04.042419799
10.488897ms,true,-,May  8 14:18:04.043722187
81.620727ms,true,-,May  8 14:18:04.043801803
81.232208ms,true,-,May  8 14:18:04.043887913
6.344205ms,true,-,May  8 14:18:04.043918942
81.254224ms,true,-,May  8 14:18:04.043935054
