
Number of requests,Medium response time,Error percentage,Throughput,Duration
36000,277.081472ms,0,551.1094901788975,65.322772773
Type,Requests per second,Duration,,
grpc,100,10s,
grpc,300,10s,
grpc,500,10s,
grpc,700,10s,
grpc,900,10s,
grpc,1100,10s,
Response time,Success,Error,End time,
4.001357ms,true,-,May 12 21:45:32.657617819
8.747699ms,true,-,May 12 21:45:32.662446908
9.041514ms,true,-,May 12 21:45:32.662670285
9.081013ms,true,-,May 12 21:45:32.662802412
8.399463ms,true,-,May 12 21:45:32.662951538
8.061314ms,true,-,May 12 21:45:32.662956023
9.603308ms,true,-,May 12 21:45:32.663084599
9.166533ms,true,-,May 12 21:45:32.663185728
9.168188ms,true,-,May 12 21:45:32.663217827
9.21252ms,true,-,May 12 21:45:32.663265659
12.049076ms,true,-,May 12 21:45:32.666943915
12.394628ms,true,-,May 12 21:45:32.667106126
13.409291ms,true,-,May 12 21:45:32.667243978
13.661988ms,true,-,May 12 21:45:32.667616722
13.88826ms,true,-,May 12 21:45:32.667644655
13.898266ms,true,-,May 12 21:45:32.667855758
13.975282ms,true,-,May 12 21:45:32.667880392
14.225397ms,true,-,May 12 21:45:32.667957323
13.268629ms,true,-,May 12 21:45:32.667977012
14.03786ms,true,-,May 12 21:45:32.667983984
14.12712ms,true,-,May 12 21:45:32.668205021
14.406699ms,true,-,May 12 21:45:32.668207719
14.632041ms,true,-,May 12 21:45:32.668281371
14.599632ms,true,-,May 12 21:45:32.668282006
15.574886ms,true,-,May 12 21:45:32.669649234
15.15038ms,true,-,May 12 21:45:32.669735693
15.441254ms,true,-,May 12 21:45:32.670104475
17.446509ms,true,-,May 12 21:45:32.671173371
18.005419ms,true,-,May 12 21:45:32.672101508
17.201056ms,true,-,May 12 21:45:32.672112298
17.696039ms,true,-,May 12 21:45:32.672264313
18.268452ms,true,-,May 12 21:45:32.672305600
18.052755ms,true,-,May 12 21:45:32.672388458
17.52281ms,true,-,May 12 21:45:32.672418358
18.575852ms,true,-,May 12 21:45:32.672459628
17.66997ms,true,-,May 12 21:45:32.672514599
18.471783ms,true,-,May 12 21:45:32.672527430
17.749324ms,true,-,May 12 21:45:32.672627556
17.753971ms,true,-,May 12 21:45:32.672635188
18.829494ms,true,-,May 12 21:45:32.672725391
17.810865ms,true,-,May 12 21:45:32.672727535
17.891666ms,true,-,May 12 21:45:32.672796946
18.221557ms,true,-,May 12 21:45:32.672882705
